Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  3.333333333333333e+00, -3.846557080240552e-03, -3.499967703912048e-01,  1.447604454741892e-01,  7.757631001350859e-02,  8.065172920048562e-01,  1.256519207124681e-01,  1.960628896842751e-01, -2.467424368617610e-01,  9.610770933340236e-01,  3.927209490216898e-01,  1.735647687972112e+00, -8.650926271580303e-01, -2.595904218421977e-01
  3.337500000000000e+00, -3.631693625761843e-03, -3.497948539869974e-01,  1.460541302525787e-01,  7.805216339190725e-02,  8.064662127005880e-01,  1.256665101791610e-01,  1.963465182031855e-01, -2.467339559639895e-01,  9.612498337699382e-01,  3.932946279635332e-01,  1.735628544911541e+00, -8.653748688895775e-01, -2.588263151652725e-01
  3.341666666666667e+00, -3.413404950660967e-03, -3.495563447959423e-01,  1.473522433648420e-01,  7.852833993681578e-02,  8.064190193590643e-01,  1.256775114120833e-01,  1.966256229014794e-01, -2.466533155118589e-01,  9.614086082966334e-01,  3.938239805785329e-01,  1.735606377891616e+00, -8.655560069139189e-01, -2.580092103035721e-01
  3.345833333333334e+00, -3.192363688793650e-03, -3.492789168532844e-01,  1.486496422910493e-01,  7.900273728997020e-02,  8.063762195254620e-01,  1.256846048815624e-01,  1.969010986612636e-01, -2.464961913188230e-01,  9.615538253012388e-01,  3.943053308821821e-01,  1.735583379417367e+00, -8.656294472863645e-01, -2.571387535412769e-01
  3.350000000000000e+00, -2.969336471213071e-03, -3.489606899967845e-01,  1.499408065875535e-01,  7.947312058017705e-02,  8.063382887581755e-01,  1.256875093894110e-01,  1.971751602440338e-01, -2.462603400644982e-01,  9.616858804334797e-01,  3.947360048611852e-01,  1.735559601811924e+00, -8.655891661298810e-01, -2.562148783291587e-01
  3.354166666666667e+00, -2.745145531044678e-03, -3.486002211205626e-01,  1.512200905684797e-01,  7.993721721021663e-02,  8.063056577064573e-01,  1.256859873303500e-01,  1.974500499028610e-01, -2.459441371177181e-01,  9.618054065477190e-01,  3.951137537275424e-01,  1.735535161768766e+00, -8.654300742567422e-01, -2.552378833303962e-01
  3.358333333333333e+00, -2.520669865744157e-03, -3.481965307497665e-01,  1.524817359980258e-01,  8.039272363148721e-02,  8.062787090497715e-01,  1.256798468782989e-01,  1.977280370783396e-01, -2.455465762753390e-01,  9.619132918089109e-01,  3.954367160604419e-01,  1.735510186843550e+00, -8.651482300416417e-01, -2.542083882681623e-01
  3.362500000000000e+00, -2.296845946889847e-03, -3.477491189947519e-01,  1.537198837880063e-01,  8.083731137193292e-02,  8.062577756666083e-01,  1.256689431070462e-01,  1.980113863703557e-01, -2.450672117705893e-01,  9.620106895942858e-01,  3.957033828741119e-01,  1.735484815359451e+00, -8.647410786621376e-01, -2.531272594575234e-01
  3.366666666666667e+00, -2.074663136731479e-03, -3.472579572447824e-01,  1.549286097179333e-01,  8.126864102004508e-02,  8.062431400683508e-01,  1.256531774302277e-01,  1.983023025863805e-01, -2.445060520023059e-01,  9.620989958974348e-01,  3.959126125335733e-01,  1.735459194676811e+00, -8.642076433463385e-01, -2.519955000592259e-01
  3.370833333333334e+00, -1.855149036217415e-03, -3.467234538867809e-01,  1.561020106664155e-01,  8.168439432241469e-02,  8.062350339400222e-01,  1.256324957391183e-01,  1.986027999485357e-01, -2.438633629864480e-01,  9.621797874886224e-01,  3.960637112053867e-01,  1.735433478151341e+00, -8.635486138759448e-01, -2.508141173288334e-01
