Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.090000000000000e+00, -4.156047279657449e-01,  3.951062292546959e-02, -6.953258581296505e-02,  2.245278436921273e-01, -2.882837260038236e-01, -1.267531031824551e-02
  2.100000000000000e+00, -4.242568056566496e-01,  4.726111057395088e-02, -7.337745001430415e-02,  2.463415380061155e-01, -2.749185044077656e-01, -1.633859543497121e-02
  2.110000000000000e+00, -4.300106478775463e-01,  5.519099887230650e-02, -7.642004143505611e-02,  2.721324632915864e-01, -2.578882026562596e-01, -2.043775746430136e-02
  2.120000000000000e+00, -4.325812845755717e-01,  6.324206526731535e-02, -7.844636492274921e-02,  3.020301033051953e-01, -2.369752644770216e-01, -2.502944813436574e-02
  2.130000000000000e+00, -4.318099675318429e-01,  7.139744050538299e-02, -7.929152296048005e-02,  3.360420452631204e-01, -2.120897703098184e-01, -3.012602617751192e-02
  2.140000000000000e+00, -4.276615576775795e-01,  7.967874579614542e-02, -7.888174387883927e-02,  3.740377192737645e-01, -1.833225487995592e-01, -3.566320222670493e-02
  2.150000000000000e+00, -4.202192272596889e-01,  8.813142841209509e-02, -7.726465223534168e-02,  4.157397957230726e-01, -1.509981727240291e-01, -4.148213734386982e-02
  2.160000000000000e+00, -4.096689411373967e-01,  9.679638858183326e-02, -7.461991776872781e-02,  4.607312186918633e-01, -1.157155348850948e-01, -4.733497854354210e-02
  2.170000000000000e+00, -3.962708156089298e-01,  1.056757779099990e-01, -7.124281503729191e-02,  5.084815037328964e-01, -7.835821250733480e-02, -5.291828929726809e-02
  2.180000000000000e+00, -3.803188992493270e-01,  1.147048076340362e-01, -6.750227534433306e-02,  5.583889523834434e-01, -4.005743466994292e-02, -5.792775337139033e-02
  2.190000000000000e+00, -3.620969232389458e-01,  1.237401777128664e-01, -6.378389981463407e-02,  6.098284932143521e-01, -2.100999979710769e-03, -6.211775856944119e-02
  2.200000000000000e+00, -3.418409755541882e-01,  1.325696286741631e-01, -6.043269372426204e-02,  6.621925567218773e-01,  3.419951331322833e-02, -6.534673926619879e-02
  2.210000000000000e+00, -3.197182948868489e-01,  1.409392326065113e-01, -5.770877279050055e-02,  7.149160999477177e-01,  6.765259749062345e-02, -6.759503436825862e-02
  2.220000000000000e+00, -2.958255378260848e-01,  1.485892454553812e-01, -5.576366165886790e-02,  7.674838817931889e-01,  9.730499993109763e-02, -6.895309736709970e-02
  2.230000000000000e+00, -2.702034806939311e-01,  1.552880460073516e-01, -5.463780708509770e-02,  8.194241773257575e-01,  1.225080901250118e-01, -6.958834582077300e-02
  2.240000000000000e+00, -2.428612934396998e-01,  1.608566673402922e-01, -5.427424630082470e-02,  8.702957813785963e-01,  1.429266378034870e-01, -6.970408747039501e-02
  2.250000000000000e+00, -2.138031311312819e-01,  1.651813122338002e-01, -5.454080790733403e-02,  9.196744814301582e-01,  1.585023197502448e-01, -6.950273979527970e-02
