Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  2.916666666666667e+00,  6.206079620015578e-03, -5.474592288722497e-01,  1.552883955853752e-02,  8.093539322056768e-02,  8.698981832354993e-01,  1.493956782219087e-01,  2.060121699636467e-01,  3.535125988182295e-02, -5.059871207746657e-01,  1.297903591517498e+00,  7.090017625885561e-01, -5.995598119469250e-01,  1.355236292631726e-01
  2.920833333333333e+00,  6.322872351451615e-03, -5.493653384238906e-01,  1.906589824149301e-02,  8.227264594259794e-02,  8.694428486101330e-01,  1.497638000649524e-01,  2.008302965978308e-01,  3.101382006313322e-02, -5.145210627494279e-01,  1.301578942206474e+00,  7.083505410505559e-01, -5.976641278980476e-01,  1.348634653916809e-01
  2.925000000000000e+00,  6.455749958887119e-03, -5.511790869109711e-01,  2.304266211549063e-02,  8.377081632242192e-02,  8.689592923290121e-01,  1.501479477828641e-01,  1.956248101542510e-01,  2.645977741366138e-02, -5.232250036731437e-01,  1.305825669017216e+00,  7.078432519398462e-01, -5.957182570505585e-01,  1.341980020341205e-01
  2.929166666666667e+00,  6.606718945356495e-03, -5.528890322200822e-01,  2.743554763806296e-02,  8.542371553556023e-02,  8.684520975894729e-01,  1.505437171822162e-01,  1.904114029579561e-01,  2.172700965259188e-02, -5.320745873768251e-01,  1.310574932764259e+00,  7.074650654410261e-01, -5.937190171665178e-01,  1.335319394133219e-01
  2.933333333333333e+00,  6.777872507422395e-03, -5.544906492864248e-01,  3.221488492191531e-02,  8.722328221612827e-02,  8.679259093267232e-01,  1.509468180887482e-01,  1.852085929466331e-01,  1.684971249751396e-02, -5.410416847411348e-01,  1.315757260466458e+00,  7.071930061959172e-01, -5.916630310799544e-01,  1.328704033252128e-01
  2.937500000000000e+00,  6.971197872977118e-03, -5.559758842095136e-01,  3.734550539726137e-02,  8.915923497886868e-02,  8.673860058598336e-01,  1.513525297244629e-01,  1.800303833614616e-01,  1.186949455375744e-02, -5.501023934266097e-01,  1.321304524821686e+00,  7.070008621715781e-01, -5.895462503464188e-01,  1.322198212560070e-01
  2.941666666666666e+00,  7.188442279630109e-03, -5.573460435543270e-01,  4.278670353691288e-02,  9.121947067928231e-02,  8.668373596870691e-01,  1.517566269958753e-01,  1.748959497785133e-01,  6.820658484315345e-03, -5.592275785512552e-01,  1.327149102048217e+00,  7.068560454762098e-01, -5.873655508715012e-01,  1.315866845370146e-01
  2.945833333333333e+00,  7.430920231245342e-03, -5.586002987486712e-01,  4.849307108615477e-02,  9.338975171792177e-02,  8.662852531366317e-01,  1.521547847161062e-01,  1.698217761614011e-01,  1.742299048955030e-03, -5.683915246760652e-01,  1.333225925202218e+00,  7.067249306552610e-01, -5.851180235421980e-01,  1.309783703700411e-01
  2.950000000000000e+00,  7.699328186508599e-03, -5.597470825845114e-01,  5.441482873354782e-02,  9.565418669299244e-02,  8.657344254034849e-01,  1.525433988758600e-01,  1.648304136019251e-01, -3.334780617393234e-03, -5.775634349654973e-01,  1.339471763799647e+00,  7.065700785710106e-01, -5.828023663154035e-01,  1.304019186341433e-01
  2.954166666666667e+00,  7.993667623155537e-03, -5.607892034287316e-01,  6.049929229969211e-02,  9.799502003785368e-02,  8.651898661671343e-01,  1.529188037114575e-01,  1.599397965363628e-01, -8.372335945690252e-03, -5.867183003439989e-01,  1.345827347691584e+00,  7.063570823658448e-01, -5.804176581729635e-01,  1.298650858655511e-01
  2.958333333333333e+00,  8.313123365861794e-03, -5.617339982223412e-01,  6.669158432870946e-02,  1.003932395008606e-01,  8.646560439241924e-01,  1.532779948215666e-01,  1.551709177916446e-01, -1.333637743957937e-02, -5.958291597435244e-01,  1.352236585492017e+00,  7.060521449322078e-01, -5.779645091074276e-01,  1.293751834431494e-01
  2.962500000000000e+00,  8.656012014803356e-03, -5.625908090185260e-01,  7.293578007799659e-02,  1.028288320006752e-01,  8.641369532981485e-01,  1.536185535524704e-01,  1.505461980354856e-01, -1.819498369504177e-02, -6.048687758025443e-01,  1.358647180293761e+00,  7.056240291948741e-01, -5.754449334270182e-01,  1.289390062111875e-01
  2.966666666666666e+00,  9.019833397449871e-03, -5.633678342017294e-01,  7.917632867007826e-02,  1.052811481844896e-01,  8.636361988853892e-01,  1.539385280781927e-01,  1.460869274618330e-01, -2.291529378394619e-02, -6.138115991650134e-01,  1.365011006950271e+00,  7.050464980042117e-01, -5.728620607758595e-01,  1.285628822465890e-01
  2.970833333333333e+00,  9.401252590387380e-03, -5.640762229702331e-01,  8.535875465937270e-02,  1.077293496039960e-01,  8.631566918500191e-01,  1.542366908170353e-01,  1.418166226822387e-01, -2.746859597169214e-02, -6.226306595091089e-01,  1.371283972459103e+00,  7.042970770318548e-01, -5.702206036209807e-01,  1.282520103930242e-01
  2.975000000000000e+00,  9.796250434857372e-03, -5.647264500056414e-01,  9.143099907423673e-02,  1.101527950148198e-01,  8.627008134836555e-01,  1.545123379408870e-01,  1.377579296400216e-01, -3.182672223388263e-02, -6.312998818720977e-01,  1.377426256437660e+00,  7.033592303554397e-01, -5.675264428360667e-01,  1.280106128847153e-01
  2.979166666666667e+00,  1.020024990316348e-02, -5.653288187272758e-01,  9.734426995616223e-02,  1.125314549207192e-01,  8.622703685498371e-01,  1.547652960030726e-01,  1.339328411807116e-01, -3.596301238181028e-02, -6.397935121843971e-01,  1.383402204004529e+00,  7.022223691393901e-01, -5.647866335364289e-01,  1.278417191746974e-01
  2.983333333333333e+00,  1.060828362086893e-02, -5.658930881031575e-01,  1.030538281892530e-01,  1.148462901036104e-01,  8.618666130755942e-01,  1.549958588790148e-01,  1.303621516620246e-01, -3.985225462403775e-02, -6.480861765203306e-01,  1.389180204679335e+00,  7.008820123349752e-01, -5.620092949490225e-01,  1.277470847923702e-01
