Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.916666666666667e+00,  8.300969879886700e-01,  9.054003198528804e-02,  3.078245095861442e-02,  1.989915224076978e+00, -1.257475527377540e-01, -5.358136516676854e-03
  2.920833333333333e+00,  8.471691793846151e-01,  9.071465461000772e-02,  3.518906280024434e-02,  1.976998499445353e+00, -1.376445183046992e-01, -5.397432730601938e-03
  2.925000000000000e+00,  8.633406944977081e-01,  9.022570133776431e-02,  4.029530929456581e-02,  1.962032403093297e+00, -1.496653892589233e-01, -5.224153316832286e-03
  2.929166666666667e+00,  8.786383872894342e-01,  8.908883062250972e-02,  4.607075668321135e-02,  1.945048514005138e+00, -1.617498578269487e-01, -4.874546769861520e-03
  2.933333333333333e+00,  8.930859132007105e-01,  8.733209890975235e-02,  5.247341831810749e-02,  1.926082066871613e+00, -1.738294920116396e-01, -4.386807026633161e-03
  2.937500000000000e+00,  9.067052618359358e-01,  8.499525347511128e-02,  5.944864405684328e-02,  1.905173409550467e+00, -1.858300557156954e-01, -3.800138656475710e-03
  2.941666666666666e+00,  9.195109480265800e-01,  8.212611057820851e-02,  6.693250734501556e-02,  1.882365635524847e+00, -1.976709935960160e-01, -3.153384561242310e-03
  2.945833333333333e+00,  9.315123174776778e-01,  7.877902848354701e-02,  7.485091522544672e-02,  1.857705807705451e+00, -2.092724251551993e-01, -2.483635809140856e-03
  2.950000000000000e+00,  9.427096876994702e-01,  7.501243517206957e-02,  8.312538137713361e-02,  1.831244519278287e+00, -2.205390656655059e-01, -1.826531584234654e-03
  2.954166666666667e+00,  9.530976472075433e-01,  7.088629794024826e-02,  9.167033737664686e-02,  1.803035853078012e+00, -2.313850804048479e-01, -1.213433035765198e-03
  2.958333333333333e+00,  9.626622157983157e-01,  6.645989994299839e-02,  1.003988150260242e-01,  1.773136805652603e+00, -2.417210857088539e-01, -6.717035791363724e-04
  2.962500000000000e+00,  9.713823594712606e-01,  6.179111350838840e-02,  1.092259104255007e-01,  1.741608569429236e+00, -2.514466413038309e-01, -2.254578016775365e-04
  2.966666666666666e+00,  9.792292637936185e-01,  5.693129290863408e-02,  1.180639161025332e-01,  1.708511315724051e+00, -2.604988023523725e-01,  1.109459670452131e-04
  2.970833333333333e+00,  9.861691344951536e-01,  5.192960692251436e-02,  1.268344641985303e-01,  1.673911085942821e+00, -2.687856347660406e-01,  3.246707807515836e-04
  2.975000000000000e+00,  9.921632882072025e-01,  4.682927340043519e-02,  1.354637706143326e-01,  1.637875270586307e+00, -2.762304939300037e-01,  4.098027312312741e-04
  2.979166666666667e+00,  9.971696457246096e-01,  4.166821935886622e-02,  1.438854191387578e-01,  1.600473567682276e+00, -2.827628448003574e-01,  3.660752371943505e-04
  2.983333333333333e+00,  1.001144083234029e+00,  3.647930788054232e-02,  1.520411882346947e-01,  1.561778008346882e+00, -2.883192501471468e-01,  1.987332191041943e-04
  2.987500000000000e+00,  1.004041807472199e+00,  3.129082682582518e-02,  1.598814572054454e-01,  1.521863092984233e+00, -2.928442585629838e-01, -8.167517438630602e-05
  2.991666666666667e+00,  1.005818724464606e+00,  2.612717542018062e-02,  1.673652189023935e-01,  1.480806061186939e+00, -2.962911996092136e-01, -4.595552520832928e-04
  2.995833333333333e+00,  1.006432790484172e+00,  2.100969610951431e-02,  1.744597384783083e-01,  1.438687318918539e+00, -2.986228997632424e-01, -9.145568164373900e-04
  3.000000000000000e+00,  1.005844885813560e+00,  1.595626123417038e-02,  1.811368750764393e-01,  1.395589539064341e+00, -2.998226262261190e-01, -1.418833845641241e-03
  3.004166666666666e+00,  1.004022122821674e+00,  1.098791967944179e-02,  1.873846294220477e-01,  1.351604761755015e+00, -2.998516453950644e-01, -1.950010518936512e-03
  3.008333333333333e+00,  1.000936185668152e+00,  6.121307368740725e-03,  1.931868487468421e-01,  1.306825641193617e+00, -2.987173777485096e-01, -2.472299642252113e-03
  3.012500000000000e+00,  9.965669649601774e-01,  1.375836164938971e-03,  1.985349637849214e-01,  1.261353520809185e+00, -2.964270293551333e-01, -2.950191348859966e-03
  3.016666666666667e+00,  9.909036519786761e-01, -3.226518524646504e-03,  2.034232943800575e-01,  1.215298261524305e+00, -2.930004028589501e-01, -3.345904947383825e-03
  3.020833333333333e+00,  9.839465676737319e-01, -7.659821585330739e-03,  2.078476387463652e-01,  1.168780065219347e+00, -2.884705697699481e-01, -3.620403678515403e-03
  3.025000000000000e+00,  9.757095660829918e-01, -1.189166267576480e-02,  2.118067391628990e-01,  1.121932858237010e+00, -2.828773606517027e-01, -3.737576617706502e-03
  3.029166666666666e+00,  9.662206350349896e-01, -1.588650695814109e-02,  2.152892424380225e-01,  1.074900594439445e+00, -2.762992812231652e-01, -3.653667619335161e-03
  3.033333333333333e+00,  9.555267639882227e-01, -1.959712831928928e-02,  2.182925944836177e-01,  1.027848647842791e+00, -2.688028162378054e-01, -3.339145595713756e-03
  3.037500000000000e+00,  9.436942724720851e-01, -2.296964862006967e-02,  2.208090102463859e-01,  9.809586017301384e-01, -2.604803230648246e-01, -2.766796805504147e-03
  3.041666666666667e+00,  9.308111894825952e-01, -2.594196542337901e-02,  2.228268499201442e-01,  9.344307890812310e-01, -2.514463196514400e-01, -1.916254749280691e-03
  3.045833333333333e+00,  9.169883163874695e-01, -2.844796463533972e-02,  2.243468553246925e-01,  8.884843245303579e-01, -2.418063230988017e-01, -7.849853619090989e-04
  3.050000000000000e+00,  9.023587208775622e-01, -3.041836836705714e-02,  2.253615623670145e-01,  8.433527143585750e-01, -2.317056083838997e-01,  6.243104568657661e-04
  3.054166666666667e+00,  8.870764678177933e-01, -3.178722289348923e-02,  2.258752962415019e-01,  7.992812280769324e-01, -2.212884197493622e-01,  2.290976286986269e-03
  3.058333333333333e+00,  8.713126415472894e-01, -3.249838505548985e-02,  2.259024442785779e-01,  7.565190993867098e-01, -2.107050437775577e-01,  4.179648846661757e-03
  3.062500000000000e+00,  8.552496190940339e-01, -3.251266216567328e-02,  2.254694888261067e-01,  7.153105722829349e-01, -2.001070312413138e-01,  6.241582885181589e-03
  3.066666666666666e+00,  8.390737407826017e-01, -3.181433072909057e-02,  2.246154472556494e-01,  6.758848815592428e-01, -1.896418966835838e-01,  8.417431460358758e-03
  3.070833333333333e+00,  8.229671362038622e-01, -3.041576409535196e-02,  2.233903199163787e-01,  6.384464164307770e-01, -1.794478651109565e-01,  1.064121604268262e-02
  3.075000000000000e+00,  8.070997177077117e-01, -2.835914509333204e-02,  2.218516156746594e-01,  6.031664226063755e-01, -1.696492937190479e-01,  1.284496067211502e-02
  3.079166666666667e+00,  7.916223681050464e-01, -2.571480548236682e-02,  2.200595193580235e-01,  5.701773598919488e-01, -1.603532998251253e-01,  1.496332000238775e-02
  3.083333333333333e+00,  7.766621072833446e-01, -2.257644369611223e-02,  2.180716043786650e-01,  5.395705134776511e-01, -1.516479008102704e-01,  1.693755579719076e-02
  3.087500000000000e+00,  7.623196101322643e-01, -1.905408649068252e-02,  2.159380609378801e-01,  5.113968335294491e-01, -1.436016937181081e-01,  1.871839588783314e-02
  3.091666666666666e+00,  7.486690090146065e-01, -1.526599334864343e-02,  2.136982083938336e-01,  4.856704479827887e-01, -1.362648589944038e-01,  2.026757276422848e-02
  3.095833333333333e+00,  7.357595766648568e-01, -1.133070059236907e-02,  2.113786954451262e-01,  4.623739870290899e-01, -1.296711238976680e-01,  2.155809697335677e-02
  3.100000000000000e+00,  7.236187129624958e-01, -7.360138811025596e-03,  2.089934058502450e-01,  4.414647972905564e-01, -1.238402793199802e-01,  2.257350685986917e-02
  3.104166666666667e+00,  7.122556435385056e-01, -3.454370733797729e-03,  2.065447913265287e-01,  4.228812481522379e-01, -1.187808850279620e-01,  2.330642587237724e-02
  3.108333333333333e+00,  7.016653286313590e-01,  3.018816240474287e-04,  2.040261946944799e-01,  4.065485498072872e-01, -1.144928837127142e-01,  2.375676281780010e-02
  3.112500000000000e+00,  6.918322175184759e-01,  3.841039598355467e-03,  2.014246961764811e-01,  3.923837321321084e-01, -1.109699389714001e-01,  2.392983874223275e-02
  3.116666666666667e+00,  6.827336215285551e-01,  7.113089425665020e-03,  1.987240741605265e-01,  3.802996268552342e-01, -1.082013946321258e-01,  2.383464793656991e-02
  3.120833333333333e+00,  6.743425916862769e-01,  1.008497567266819e-02,  1.959075734038815e-01,  3.702078340704704e-01, -1.061738137514119e-01,  2.348238348527954e-02
  3.125000000000000e+00,  6.666302669592347e-01,  1.273930685629399e-02,  1.929602829385786e-01,  3.620207394731899e-01, -1.048720950610801e-01,  2.288529310040082e-02
  3.129166666666666e+00,  6.595677076899544e-01,  1.507265654032985e-02,  1.898710214652804e-01,  3.556526917872895e-01, -1.042801869453788e-01,  2.205588343752686e-02
  3.133333333333333e+00,  6.531272525856713e-01,  1.709366793835621e-02,  1.866337008706496e-01,  3.510204641391907e-01, -1.043814298442828e-01,  2.100645987628124e-02
  3.137500000000000e+00,  6.472848414529888e-01,  1.882125606495122e-02,  1.832474979914032e-01,  3.480443242723114e-01, -1.051590169500899e-01,  1.974853819752952e-02
  3.141666666666667e+00,  6.420152626322474e-01,  2.028202581010019e-02,  1.797198656370523e-01,  3.466428384199760e-01, -1.065939853737330e-01,  1.829460841856199e-02
  3.145833333333333e+00,  6.372998555354222e-01,  2.150922471259120e-02,  1.760628676615335e-01,  3.467384201345708e-01, -1.086671133622382e-01,  1.665608122104948e-02
