Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  1.083333333333333e-01,  1.007191132613424e-01, -1.045094273315752e-01,  5.309598114136690e-01,  2.044625372081031e-01,  7.678638083006916e-01,  1.205036701679996e-01,  2.790608966440682e-01,  7.681655068733538e-01,  1.247744848398983e+00,  1.535475703715871e-01,  1.735423160850729e+00, -8.512887890352319e-01,  5.129859650068764e-02
  1.125000000000000e-01,  1.008539371018992e-01, -1.044307409997546e-01,  5.313135654473339e-01,  2.046401796657970e-01,  7.678633173034271e-01,  1.204930832620204e-01,  2.776552520107519e-01,  7.687212019119933e-01,  1.247610293968100e+00,  1.536987002928636e-01,  1.735426326202765e+00, -8.505882527850263e-01,  5.203163976753963e-02
  1.166666666666667e-01,  1.009867571200497e-01, -1.043609792926871e-01,  5.316656423157183e-01,  2.048182925500487e-01,  7.678619607483961e-01,  1.204833050999037e-01,  2.762462418762177e-01,  7.693485625539483e-01,  1.247506698820139e+00,  1.538112288808510e-01,  1.735429863418252e+00, -8.499057708493095e-01,  5.274603561527081e-02
  1.208333333333333e-01,  1.011164151525459e-01, -1.042989766676939e-01,  5.320121286474159e-01,  2.049946176896088e-01,  7.678599549664288e-01,  1.204742667687651e-01,  2.748431531479940e-01,  7.700386870288326e-01,  1.247424927991695e+00,  1.539057990360983e-01,  1.735433018560879e+00, -8.492331559460055e-01,  5.342542674326887e-02
  1.250000000000000e-01,  1.012394956385996e-01, -1.042461463828728e-01,  5.323438115300965e-01,  2.051644263989767e-01,  7.678573768648428e-01,  1.204661885512643e-01,  2.734523061553906e-01,  7.707898959485883e-01,  1.247379737935002e+00,  1.539724557950792e-01,  1.735436160950058e+00, -8.485741376812658e-01,  5.407352458718793e-02
  1.291666666666667e-01,  1.013516482474719e-01, -1.042043757722843e-01,  5.326490142366124e-01,  2.053217279100465e-01,  7.678543100842756e-01,  1.204593618018745e-01,  2.720809404374054e-01,  7.716007768278652e-01,  1.247392140732287e+00,  1.539949309323603e-01,  1.735439272272667e+00, -8.479345903048536e-01,  5.469797463898261e-02
  1.333333333333333e-01,  1.014529982361815e-01, -1.041733241067293e-01,  5.329279746256149e-01,  2.054665815612159e-01,  7.678507796186911e-01,  1.204537581110546e-01,  2.707341973140401e-01,  7.724641099234666e-01,  1.247450615879586e+00,  1.539913055497925e-01,  1.735442760352663e+00, -8.473076904909590e-01,  5.528533001538780e-02
  1.375000000000000e-01,  1.015398639070496e-01, -1.041547853533337e-01,  5.331709215413211e-01,  2.055939933579228e-01,  7.678468309923605e-01,  1.204496439397180e-01,  2.694191343929425e-01,  7.733770025936296e-01,  1.247572041258701e+00,  1.539489574996102e-01,  1.735446094629355e+00, -8.466979542268723e-01,  5.584138503183692e-02
  1.416666666666667e-01,  1.016102789060713e-01, -1.041503149796506e-01,  5.333729222180744e-01,  2.057015323412399e-01,  7.678424265191502e-01,  1.204472119940547e-01,  2.681400777571482e-01,  7.743369260552713e-01,  1.247764691959384e+00,  1.538618747862056e-01,  1.735449780987593e+00, -8.461078049647116e-01,  5.636849744498747e-02
  1.458333333333333e-01,  1.016637044973465e-01, -1.041602650703175e-01,  5.335326458704212e-01,  2.057885043059668e-01,  7.678375467851649e-01,  1.204465183372205e-01,  2.669029287768293e-01,  7.753361652768909e-01,  1.248022800773703e+00,  1.537412289133485e-01,  1.735453273259885e+00, -8.455333011418520e-01,  5.685785964670185e-02
