Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  4.583333333333333e-02,  1.089426145163627e-01, -4.634937462214234e-02,  5.266612816035827e-01,  1.938978576449338e-01,  7.740853434682085e-01,  1.150252190787984e-01,  4.351895438849829e-01,  5.821844790710801e-01,  1.257264655361032e+00,  2.598370004693826e-01,  1.733819268334273e+00, -6.664114252782504e-01, -4.805244345436352e-02
  5.000000000000000e-02,  1.089901004977970e-01, -4.693373196597846e-02,  5.270604675548832e-01,  1.941906877589743e-01,  7.740117219621444e-01,  1.150808674488806e-01,  4.338530378466129e-01,  5.827156033018858e-01,  1.255683948478362e+00,  2.606457739699939e-01,  1.733810389124233e+00, -6.670828669647104e-01, -4.823631862182062e-02
  5.416666666666666e-02,  1.090315082637255e-01, -4.747440079208757e-02,  5.274231959044727e-01,  1.944583100478615e-01,  7.739438628122561e-01,  1.151322772153662e-01,  4.325300932080389e-01,  5.832773934324806e-01,  1.254142038483546e+00,  2.613940154308548e-01,  1.733803404607641e+00, -6.677385944777464e-01, -4.841730397055752e-02
  5.833333333333333e-02,  1.090676271566661e-01, -4.796909848440882e-02,  5.277504893319485e-01,  1.947008877030834e-01,  7.738819587961311e-01,  1.151792500871471e-01,  4.312268994088139e-01,  5.838692595846083e-01,  1.252642831462045e+00,  2.620783223771181e-01,  1.733796819573336e+00, -6.683765326805208e-01, -4.859528787128737e-02
  6.250000000000000e-02,  1.090998742285072e-01, -4.841588215720435e-02,  5.280452528825356e-01,  1.949196332990685e-01,  7.738261170725708e-01,  1.152216090823844e-01,  4.299481749911137e-01,  5.844914813402361e-01,  1.251188809488473e+00,  2.626960017059516e-01,  1.733790631079375e+00, -6.689948540891262e-01, -4.877059459628257e-02
  6.666666666666667e-02,  1.091300168135911e-01, -4.881320684733084e-02,  5.283115402158881e-01,  1.951164270827414e-01,  7.737763719851856e-01,  1.152592080851906e-01,  4.286983827294690e-01,  5.851440450595768e-01,  1.249781394729514e+00,  2.632449709373275e-01,  1.733784828725554e+00, -6.695919272589548e-01, -4.894372838555457e-02
  7.083333333333333e-02,  1.091601364377918e-01, -4.915990301247423e-02,  5.285544456307075e-01,  1.952937574422272e-01,  7.737326907656070e-01,  1.152919297125544e-01,  4.274816718521098e-01,  5.858266266318679e-01,  1.248420954600279e+00,  2.637237513742379e-01,  1.733779398189898e+00, -6.701663285520639e-01, -4.911535052775524e-02
  7.500000000000000e-02,  1.091925864839709e-01, -4.945514089529474e-02,  5.287799718676753e-01,  1.954546463274140e-01,  7.736949811596004e-01,  1.153196822446467e-01,  4.263018500132786e-01,  5.865385885914479e-01,  1.247106851019234e+00,  2.641314487820671e-01,  1.733774322254884e+00, -6.707168590517643e-01, -4.928625580432914e-02
  7.916666666666666e-02,  1.092299460459010e-01, -4.969838929211811e-02,  5.289948837094473e-01,  1.956025661002227e-01,  7.736630999172760e-01,  1.153423962658533e-01,  4.251623728882613e-01,  5.872789937880899e-01,  1.245837527031074e+00,  2.644677268527967e-01,  1.733769581319222e+00, -6.712425565371892e-01, -4.945734894411860e-02
  8.333333333333333e-02,  1.092749704575669e-01, -4.988937397613111e-02,  5.292065511511955e-01,  1.957413507417655e-01,  7.736368615373885e-01,  1.153600214404592e-01,  4.240663401008687e-01,  5.880466363631428e-01,  1.244610625792565e+00,  2.647327726216891e-01,  1.733765153613122e+00, -6.717426974239344e-01, -4.962961931968773e-02
  8.749999999999999e-02,  1.093305385962808e-01, -5.002803987162124e-02,  5.294227843813196e-01,  1.958751033571858e-01,  7.736160468203619e-01,  1.153725237419190e-01,  4.230164902025685e-01,  5.888400913319798e-01,  1.243423137461310e+00,  2.649272500081056e-01,  1.733761015574522e+00, -6.722167907247724e-01, -4.980410399536372e-02
  9.166666666666666e-02,  1.093995971552157e-01, -5.011451836325694e-02,  5.296516618807138e-01,  1.960081010063583e-01,  7.736004110910839e-01,  1.153798832040766e-01,  4.220151950005299e-01,  5.896577778273145e-01,  1.242271564858452e+00,  2.650522435766716e-01,  1.733757142453902e+00, -6.726645637727608e-01, -4.998183294616364e-02
  9.583333333333333e-02,  1.094851015099698e-01, -5.014909792040756e-02,  5.299013499642936e-01,  1.961446958067805e-01,  7.735896923641150e-01,  1.153820919804913e-01,  4.210644644817881e-01,  5.904980190248387e-01,  1.241152094544305e+00,  2.651091996453460e-01,  1.733753509005278e+00, -6.730859392348669e-01, -5.016377249906056e-02
  9.999999999999999e-02,  1.095899533912332e-01, -5.013219399558656e-02,  5.301799127286964e-01,  1.962892112094256e-01,  7.735836199245962e-01,  1.153791523002746e-01,  4.201659753350431e-01,  5.913590817037341e-01,  1.240060761331601e+00,  2.650998692407642e-01,  1.733750090318637e+00, -6.734810093978302e-01, -5.035079274320621e-02
  1.041666666666667e-01,  1.097174101476309e-01, -5.006415027779280e-02,  5.304963294715086e-01,  1.964464505668813e-01,  7.735819063264598e-01,  1.153710525997206e-01,  4.193205220269817e-01,  5.922395564125563e-01,  1.238991961655544e+00,  2.650273147482882e-01,  1.733746613056345e+00, -6.738496398070885e-01, -5.054383751024909e-02
  1.083333333333333e-01,  1.098690757139224e-01, -4.994588767149680e-02,  5.308553111666100e-01,  1.966190608559330e-01,  7.735843270441164e-01,  1.153578533301981e-01,  4.185305437704211e-01,  5.931368636956165e-01,  1.237945309590400e+00,  2.648915217522629e-01,  1.733743566401933e+00, -6.741929607555383e-01, -5.074321922450996e-02
  1.125000000000000e-01,  1.100478328927500e-01, -4.977784685310621e-02,  5.312648007542771e-01,  1.968113321883832e-01,  7.735906176507185e-01,  1.153395513049195e-01,  4.177963875567650e-01,  5.940495742050720e-01,  1.236915503173211e+00,  2.646959450767145e-01,  1.733740673258956e+00, -6.745110426107949e-01, -5.094968522579132e-02
  1.166666666666667e-01,  1.102555306982785e-01, -4.956103216245005e-02,  5.317301472555398e-01,  1.970262802392211e-01,  7.736005303345922e-01,  1.153162064355145e-01,  4.171191682203840e-01,  5.949755371326853e-01,  1.235900202470407e+00,  2.644423299883927e-01,  1.733738191388686e+00, -6.748046855692263e-01, -5.116363615789830e-02
  1.208333333333333e-01,  1.104944637810204e-01, -4.929529197644897e-02,  5.322573356993466e-01,  1.972671050235579e-01,  7.736139243000872e-01,  1.152877597377829e-01,  4.164992333240460e-01,  5.959134463561365e-01,  1.234894887490040e+00,  2.641345924753127e-01,  1.733735547613381e+00, -6.750739271477433e-01, -5.138563281231615e-02
  1.250000000000000e-01,  1.107656946691735e-01, -4.898152294975676e-02,  5.328494373311990e-01,  1.975356310200206e-01,  7.736306323497565e-01,  1.152542645666726e-01,  4.159378173538368e-01,  5.968609414469276e-01,  1.233898387630816e+00,  2.637745549945805e-01,  1.733732874466866e+00, -6.753196365827457e-01, -5.161590640648156e-02
  1.291666666666667e-01,  1.110703285642995e-01, -4.862104048605120e-02,  5.335097937415860e-01,  1.978339001767118e-01,  7.736504381972660e-01,  1.152158097945655e-01,  4.154354094568233e-01,  5.978161394982318e-01,  1.232909685853157e+00,  2.633639820873224e-01,  1.733731063110822e+00, -6.755428370512011e-01, -5.185460044246067e-02
  1.333333333333333e-01,  1.114086163278473e-01, -4.821349400510258e-02,  5.342386045124389e-01,  1.981620645490182e-01,  7.736733912152511e-01,  1.151723360302266e-01,  4.149940161268574e-01,  5.987762746410160e-01,  1.231927765245188e+00,  2.629061693994263e-01,  1.733728374407205e+00, -6.757436862282402e-01, -5.210178610174413e-02
  1.375000000000000e-01,  1.117810547419366e-01, -4.776018859607795e-02,  5.350374733670172e-01,  1.985212703703279e-01,  7.736993293033649e-01,  1.151239336851189e-01,  4.146136966821548e-01,  5.997398154800768e-01,  1.230952806565906e+00,  2.624027359537069e-01,  1.733726252662472e+00, -6.759232797167758e-01, -5.235735347954733e-02
  1.416666666666667e-01,  1.121871445619217e-01, -4.726183534881723e-02,  5.359049905197781e-01,  1.989109906501695e-01,  7.737282382193035e-01,  1.150706494688643e-01,  4.142961388909470e-01,  6.007040473252738e-01,  1.229986044637453e+00,  2.618559494185836e-01,  1.733724187751998e+00, -6.760821883552267e-01, -5.262102279711627e-02
  1.458333333333333e-01,  1.126264704640291e-01, -4.671883896086204e-02,  5.368398044327416e-01,  1.993306909565146e-01,  7.737601350044340e-01,  1.150124988570513e-01,  4.140421505784234e-01,  6.016670848250298e-01,  1.229028747967577e+00,  2.612678979264078e-01,  1.733722382804987e+00, -6.762211074504326e-01, -5.289223721024058e-02
