Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  2.125000000000000e-01,  7.023007609353646e-02, -3.964820599220555e-01,  2.836750550554227e-01,  2.107196778571059e-01,  9.706877960170378e-01,  1.184313945927557e-01, -1.043126493629521e-01,  2.432627922013809e-01, -3.835397639265857e-01,  1.762002561858487e+00,  1.799424380383352e-01, -1.337186244610433e-01,  1.564145381005555e-01
  2.166666666666667e-01,  7.034922307043891e-02, -3.965188824871904e-01,  2.839744992359062e-01,  2.109256402807381e-01,  9.707083199667638e-01,  1.183973238972752e-01, -1.049558156070407e-01,  2.433792371185298e-01, -3.834262988455691e-01,  1.761951366621513e+00,  1.802284586528502e-01, -1.337028466793897e-01,  1.562740125178211e-01
  2.208333333333333e-01,  7.046405499368708e-02, -3.965398170634169e-01,  2.842584805479398e-01,  2.111210669694891e-01,  9.707276437401067e-01,  1.183651400653442e-01, -1.055405109941415e-01,  2.435012247902979e-01, -3.833261903105663e-01,  1.761893316359859e+00,  1.804859972783721e-01, -1.336993096765169e-01,  1.561547745826873e-01
  2.250000000000000e-01,  7.057513697003349e-02, -3.965486481826593e-01,  2.845295372978101e-01,  2.113076893875438e-01,  9.707459800467831e-01,  1.183345182384778e-01, -1.060709789265019e-01,  2.436286964284365e-01, -3.832401371138141e-01,  1.761828149290525e+00,  1.807176817087010e-01, -1.337074428797853e-01,  1.560551618772011e-01
  2.291666666666667e-01,  7.068298146868165e-02, -3.965458692673007e-01,  2.847890661726841e-01,  2.114864590309077e-01,  9.707634247377319e-01,  1.183053000262478e-01, -1.065509371180571e-01,  2.437621419065201e-01, -3.831681355660352e-01,  1.761755893028567e+00,  1.809255534306032e-01, -1.337267243767237e-01,  1.559733442021284e-01
  2.333333333333333e-01,  7.078810131124037e-02, -3.965320298879042e-01,  2.850384801074119e-01,  2.116583403748131e-01,  9.707800763182328e-01,  1.182773235913939e-01, -1.069843480983811e-01,  2.439019906647976e-01, -3.831100711766809e-01,  1.761676668795119e+00,  1.811117247670697e-01, -1.337565375068943e-01,  1.559073039601641e-01
  2.375000000000000e-01,  7.089082763867247e-02, -3.965043866389470e-01,  2.852777357787517e-01,  2.118232991999603e-01,  9.707958942255958e-01,  1.182506301508712e-01, -1.073739710329414e-01,  2.440492037924574e-01, -3.830651635355309e-01,  1.761590921233051e+00,  1.812772778182969e-01, -1.337965107137888e-01,  1.558549745456690e-01
  2.416666666666667e-01,  7.099191502666061e-02, -3.964701199844492e-01,  2.855108717370500e-01,  2.119841058834632e-01,  9.708112391908663e-01,  1.182246804098904e-01, -1.077262483694345e-01,  2.442028379734235e-01, -3.830342607059965e-01,  1.761498433497742e+00,  1.814262152631487e-01, -1.338453533830204e-01,  1.558140378426884e-01
  2.458333333333333e-01,  7.109159201719219e-02, -3.964265626543064e-01,  2.857376179743438e-01,  2.121405729211148e-01,  9.708260576776502e-01,  1.181995387410294e-01, -1.080436917699128e-01,  2.443636451920835e-01, -3.830164250584818e-01,  1.761399766307305e+00,  1.815594137562317e-01, -1.339026682657452e-01,  1.557823751241757e-01
  2.500000000000000e-01,  7.119018031665403e-02, -3.963742885576227e-01,  2.859589280896587e-01,  2.122933535979797e-01,  9.708404199546062e-01,  1.181750921357570e-01, -1.083298191286164e-01,  2.445316879958983e-01, -3.830112261268401e-01,  1.761295286455809e+00,  1.816785870104082e-01, -1.339677942766448e-01,  1.557578357990029e-01
  2.541666666666667e-01,  7.128793475848365e-02, -3.963138503719623e-01,  2.861755871325687e-01,  2.124429857897505e-01,  9.708543849785454e-01,  1.181512464961984e-01, -1.085878745372684e-01,  2.447069313039942e-01, -3.830181769232426e-01,  1.761185398457680e+00,  1.817852818064883e-01, -1.340401191988678e-01,  1.557383398871540e-01
  2.583333333333333e-01,  7.138504363613619e-02, -3.962457772890762e-01,  2.863882120443655e-01,  2.125898920403093e-01,  9.708680002943175e-01,  1.181279267250614e-01, -1.088208153086327e-01,  2.448892441817226e-01, -3.830367383298643e-01,  1.761070537661316e+00,  1.818808775290336e-01, -1.341190932440404e-01,  1.557219072500026e-01
  2.625000000000000e-01,  7.148163115665168e-02, -3.961705754011118e-01,  2.865972580149542e-01,  2.127343837386537e-01,  9.708813023791609e-01,  1.181050761027862e-01, -1.090313144474084e-01,  2.450784045038898e-01, -3.830663232059275e-01,  1.760951164881680e+00,  1.819665923260683e-01, -1.342042363390463e-01,  1.557066829183911e-01
  2.666666666666667e-01,  7.157776150574259e-02, -3.960887297322848e-01,  2.868030292105772e-01,  2.128766683346790e-01,  9.708943173157105e-01,  1.180826551377235e-01, -1.092217740668066e-01,  2.452741053571675e-01, -3.831063001248721e-01,  1.760827762206332e+00,  1.820434939968290e-01, -1.342951396742575e-01,  1.556909583989616e-01
  2.708333333333333e-01,  7.167344390662664e-02, -3.960007071352371e-01,  2.870056921356782e-01,  2.130168583974612e-01,  9.709070616662789e-01,  1.180606400944702e-01, -1.093943457462792e-01,  2.454759631557753e-01, -3.831559969010209e-01,  1.760700829905162e+00,  1.821125143432089e-01, -1.343914621693045e-01,  1.556731890467810e-01
  2.750000000000000e-01,  7.176863813655376e-02, -3.959069597460868e-01,  2.872052902386436e-01,  2.131549815570134e-01,  9.709195434497383e-01,  1.180390213620808e-01, -1.095509544489396e-01,  2.456835270751607e-01, -3.832147037160453e-01,  1.760570884240057e+00,  1.821744654360609e-01, -1.344929225309948e-01,  1.556520082605925e-01
  2.791666666666667e-01,  7.186326018415966e-02, -3.958079288925742e-01,  2.874017589627635e-01,  2.132909907778291e-01,  9.709317631651950e-01,  1.180178017546223e-01, -1.096933236628340e-01,  2.458962889709611e-01, -3.832816757524224e-01,  1.760438455751124e+00,  1.822300559166484e-01, -1.345992882201474e-01,  1.556262396234424e-01
  2.833333333333333e-01,  7.195718790027807e-02, -3.957040491233511e-01,  2.875949407831196e-01,  2.134247746461623e-01,  9.709437148259809e-01,  1.179969948005347e-01, -1.098230003679341e-01,  2.461136933087906e-01, -3.833561355105463e-01,  1.760304087613895e+00,  1.822799064138784e-01, -1.347103631718745e-01,  1.555949073496147e-01
  2.875000000000000e-01,  7.205026653990125e-02, -3.955957519939067e-01,  2.877845998683254e-01,  2.135561674214654e-01,  9.709553869747162e-01,  1.179766230670383e-01, -1.099413789645625e-01,  2.463351469922420e-01, -3.834372750891981e-01,  1.760168333993956e+00,  1.823245639226501e-01, -1.348259760010015e-01,  1.555572444549125e-01
  2.916666666666666e-01,  7.214231413584926e-02, -3.954834692684240e-01,  2.879704361174383e-01,  2.136849586784194e-01,  9.709667636571052e-01,  1.179567165525099e-01, -1.100497237000672e-01,  2.465600289420023e-01, -3.835242587584572e-01,  1.760031758634751e+00,  1.823645147089109e-01, -1.349459702229596e-01,  1.555126978032975e-01
  2.958333333333333e-01,  7.223312669798541e-02, -3.953676351146022e-01,  2.881520984247620e-01,  2.138109024372474e-01,  9.709778253389075e-01,  1.179373111694533e-01, -1.101491894915533e-01,  2.467876994694800e-01, -3.836162261442491e-01,  1.759894933793911e+00,  1.824001952225355e-01, -1.350701976806470e-01,  1.554609300073526e-01
  3.000000000000000e-01,  7.232248328144847e-02, -3.952486872718626e-01,  2.883291972700093e-01,  2.139337258481510e-01,  9.709885497717500e-01,  1.179184473073899e-01, -1.102408412800184e-01,  2.470175094366239e-01, -3.837122960061379e-01,  1.759758439069665e+00,  1.824320010143576e-01, -1.351985157061575e-01,  1.554018195816179e-01
