Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  2.125000000000000e-01, -1.218785188631628e-03, -4.259521356034232e-01,  6.938920171121797e-02,  8.486426650660538e-02,  9.664196708806553e-01,  1.316505356842183e-01,  1.347866753999397e-01,  2.328411325272060e-01, -2.474664476095842e-01,  1.630995286511801e+00,  7.255035000492752e-01, -3.853562415496734e-01, -5.876927373207459e-02
  2.166666666666667e-01, -1.148155082279019e-03, -4.257850645234906e-01,  6.967224680406126e-02,  8.500538030238157e-02,  9.664109929947814e-01,  1.316480646523667e-01,  1.350444703781770e-01,  2.330771782464391e-01, -2.477239889204335e-01,  1.631195844104760e+00,  7.250498141066490e-01, -3.858230747332261e-01, -5.895247740140601e-02
  2.208333333333333e-01, -1.073109376587629e-03, -4.256194448654158e-01,  6.997383404110445e-02,  8.515584292480870e-02,  9.664019598473903e-01,  1.316452230056216e-01,  1.352386980040716e-01,  2.333508281025143e-01, -2.479734824561695e-01,  1.631387514223104e+00,  7.246544837479586e-01, -3.862218776980857e-01, -5.909238781621703e-02
  2.250000000000000e-01, -9.951993250138108e-04, -4.254566538676109e-01,  7.028744737672835e-02,  8.531240516318256e-02,  9.663927405949648e-01,  1.316420966702270e-01,  1.353817415244968e-01,  2.336566172272789e-01, -2.482116958462040e-01,  1.631569934955372e+00,  7.243107911484576e-01, -3.865513844796298e-01, -5.919277039960318e-02
  2.291666666666667e-01, -9.147138118094233e-04, -4.252960682037467e-01,  7.061174611022877e-02,  8.547440051468375e-02,  9.663833601538006e-01,  1.316387125620483e-01,  1.354775002633402e-01,  2.339939567110396e-01, -2.484385077230304e-01,  1.631742312164707e+00,  7.240160438845485e-01, -3.868100790898050e-01, -5.925663846190175e-02
  2.333333333333333e-01, -8.319199743981474e-04, -4.251370673028564e-01,  7.094548696960845e-02,  8.564121038855792e-02,  9.663738408614975e-01,  1.316350964027373e-01,  1.355299593184477e-01,  2.343620393108596e-01, -2.486538973819593e-01,  1.631903870314752e+00,  7.237673835108108e-01, -3.869969742064030e-01, -5.928790688235325e-02
  2.375000000000000e-01, -7.453777661857486e-04, -4.249751857464794e-01,  7.129422918352066e-02,  8.581561547789936e-02,  9.663640038161345e-01,  1.316312070698003e-01,  1.355312058033820e-01,  2.347669313398306e-01, -2.488619642486301e-01,  1.632053204335935e+00,  7.235678169932809e-01, -3.871105385128912e-01, -5.928891247366241e-02
  2.416666666666667e-01, -6.586194282892072e-04, -4.248175689230206e-01,  7.164377103215451e-02,  8.599052122186696e-02,  9.663542599721144e-01,  1.316271926681531e-01,  1.355084189746815e-01,  2.351934214987244e-01, -2.490548354245488e-01,  1.632190838924634e+00,  7.234029411577582e-01, -3.871529667775144e-01, -5.926989672288865e-02
  2.458333333333333e-01, -5.701767197068816e-04, -4.246600052440661e-01,  7.199983909125339e-02,  8.616879004394935e-02,  9.663444285552298e-01,  1.316230076423941e-01,  1.354535222553531e-01,  2.356470309297733e-01, -2.492366284966753e-01,  1.632315415647339e+00,  7.232759434489826e-01, -3.871238752814521e-01, -5.923463880169594e-02
  2.500000000000000e-01, -4.801886461253570e-04, -4.245021391253764e-01,  7.236177773501497e-02,  8.635009602785235e-02,  9.663345212418489e-01,  1.316186656404809e-01,  1.353697193865015e-01,  2.361262037382588e-01, -2.494075807052967e-01,  1.632426249993686e+00,  7.231845151681763e-01, -3.870245642227892e-01, -5.918979758669472e-02
