Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[3],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[4],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos[5]
  6.250000000000000e+00, -1.417001253908348e-01,  1.338713155763715e-01,  8.092350201655466e-01,  1.129351908953412e+00, -1.221232934509422e+00, -2.565581839144202e+00
  6.254166666666666e+00, -1.476163853092450e-01,  1.321196507201635e-01,  8.089418876602310e-01,  1.105375695376928e+00, -1.237125640998078e+00, -2.581408491842131e+00
  6.258333333333334e+00, -1.536363804349443e-01,  1.303993994516432e-01,  8.086808280341962e-01,  1.080652148899681e+00, -1.253621693933534e+00, -2.596977330152230e+00
  6.262500000000000e+00, -1.597563500745692e-01,  1.287142060995571e-01,  8.084509121901208e-01,  1.055155182775340e+00, -1.270783820552433e+00, -2.612236293777570e+00
  6.266666666666667e+00, -1.659767651306875e-01,  1.270711498354309e-01,  8.082542606900384e-01,  1.028857685701413e+00, -1.288602574329644e+00, -2.627142229194592e+00
  6.270833333333333e+00, -1.723007438725679e-01,  1.254795415154109e-01,  8.080957011834162e-01,  1.001732853230903e+00, -1.306985132468147e+00, -2.641669129270427e+00
  6.275000000000000e+00, -1.787306338946228e-01,  1.239469295104999e-01,  8.079810699713957e-01,  9.737510509194885e-01, -1.325754680466278e+00, -2.655818989920310e+00
  6.279166666666667e+00, -1.852664747949071e-01,  1.224758555854183e-01,  8.079161694148427e-01,  9.448781253268749e-01, -1.344659586847096e+00, -2.669628969628804e+00
  6.283333333333333e+00, -1.919077104512020e-01,  1.210652428057403e-01,  8.079071126732845e-01,  9.150827027716855e-01, -1.363406858075599e+00, -2.683163268908981e+00
  6.287500000000000e+00, -1.986548633830149e-01,  1.197144892041744e-01,  8.079605233736807e-01,  8.843462993920215e-01, -1.381704926921834e+00, -2.696495525587282e+00
  6.291666666666667e+00, -2.055089034623190e-01,  1.184260149779747e-01,  8.080828516569429e-01,  8.526676046035129e-01, -1.399304567563441e+00, -2.709691619346331e+00
  6.295833333333333e+00, -2.124698819475529e-01,  1.172056139929417e-01,  8.082795126927291e-01,  8.200597671346466e-01, -1.416034410384344e+00, -2.722795549601429e+00
  6.300000000000000e+00, -2.195362244777413e-01,  1.160611207761322e-01,  8.085542741954891e-01,  7.865433852415842e-01, -1.431811646691650e+00, -2.735823735138551e+00
  6.304166666666666e+00, -2.267047579502616e-01,  1.149997872238824e-01,  8.089092986807366e-01,  7.521402666308528e-01, -1.446642140015073e+00, -2.748763094956951e+00
  6.308333333333334e+00, -2.339716390103391e-01,  1.140266404371713e-01,  8.093462274866228e-01,  7.168702373441685e-01, -1.460630813734400e+00, -2.761564531020749e+00
  6.312500000000000e+00, -2.413337815704941e-01,  1.131451703131038e-01,  8.098677316857017e-01,  6.807487004311922e-01, -1.473973992468223e+00, -2.774141459488473e+00
  6.316666666666666e+00, -2.487895815763494e-01,  1.123585827570116e-01,  8.104783732023618e-01,  6.437840632366405e-01, -1.486917185451004e+00, -2.786381927889335e+00
  6.320833333333334e+00, -2.563383167855028e-01,  1.116701590217314e-01,  8.111839855164887e-01,  6.059760548003255e-01, -1.499719439295782e+00, -2.798160091940713e+00
  6.325000000000000e+00, -2.639787319942106e-01,  1.110829248427235e-01,  8.119895469687417e-01,  5.673137622128923e-01, -1.512653126121225e+00, -2.809334086534060e+00
  6.329166666666667e+00, -2.717077049872697e-01,  1.105983498161015e-01,  8.128967669704870e-01,  5.277732541679081e-01, -1.525997346915374e+00, -2.819746418620501e+00
  6.333333333333333e+00, -2.795201691990335e-01,  1.102150984120536e-01,  8.139041552819639e-01,  4.873210062359000e-01, -1.539979665209457e+00, -2.829247364363505e+00
  6.337500000000000e+00, -2.874106691901785e-01,  1.099307526850202e-01,  8.150102028729372e-01,  4.459260633057341e-01, -1.554698258737679e+00, -2.837729654240658e+00
  6.341666666666667e+00, -2.953745380804697e-01,  1.097453118546446e-01,  8.162152925408823e-01,  4.035703754172755e-01, -1.570092606692868e+00, -2.845146281593848e+00
  6.345833333333333e+00, -3.034072582161468e-01,  1.096620815823670e-01,  8.175197952073487e-01,  3.602487682666721e-01, -1.585974096480503e+00, -2.851505296818335e+00
  6.350000000000000e+00, -3.115036910922343e-01,  1.096857036219500e-01,  8.189224218923823e-01,  3.159654206311989e-01, -1.602083326792176e+00, -2.856852752730400e+00
  6.354166666666667e+00, -3.196585106798386e-01,  1.098198349847015e-01,  8.204216887023702e-01,  2.707324927431061e-01, -1.618155930282816e+00, -2.861248939209258e+00
  6.358333333333333e+00, -3.278670531598275e-01,  1.100653342861980e-01,  8.220179383697953e-01,  2.245677339874233e-01, -1.633973393885440e+00, -2.864747075395344e+00
  6.362500000000000e+00, -3.361260783304317e-01,  1.104194905164284e-01,  8.237146860959629e-01,  1.774922429291479e-01, -1.649382315195846e+00, -2.867382099396214e+00
  6.366666666666666e+00, -3.444341232697264e-01,  1.108775471827821e-01,  8.255199275679332e-01,  1.295298422093341e-01, -1.664312501104770e+00, -2.869154798765713e+00
  6.370833333333334e+00, -3.527907220086547e-01,  1.114355872513312e-01,  8.274449386990006e-01,  8.070358884172064e-02, -1.678788265521441e+00, -2.870015568390080e+00
  6.375000000000000e+00, -3.611951448578063e-01,  1.120917937921644e-01,  8.294994748894441e-01,  3.103278611021837e-02, -1.692861455601532e+00, -2.869892896255242e+00
  6.379166666666666e+00, -3.696458728645741e-01,  1.128458130395218e-01,  8.316878822787419e-01, -1.946056060685977e-02, -1.706484153515840e+00, -2.868766585080469e+00
  6.383333333333334e+00, -3.781404006243690e-01,  1.136983394519350e-01,  8.340096404331289e-01, -7.074071014926646e-02, -1.719455114715911e+00, -2.866710151216649e+00
  6.387500000000000e+00, -3.866746285807064e-01,  1.146515233325072e-01,  8.364620290456246e-01, -1.227552495779701e-01, -1.731489476752134e+00, -2.863861373020099e+00
  6.391666666666667e+00, -3.952422637505668e-01,  1.157096692847868e-01,  8.390416488403869e-01, -1.754418243053586e-01, -1.742325963613078e+00, -2.860360485305957e+00
  6.395833333333333e+00, -4.038349531553274e-01,  1.168794155580928e-01,  8.417451452949776e-01, -2.287369696085240e-01, -1.751792720596427e+00, -2.856304494334605e+00
  6.400000000000000e+00, -4.124434249535555e-01,  1.181684888834996e-01,  8.445702856636107e-01, -2.825819468534719e-01, -1.759809443148563e+00, -2.851739612264777e+00
  6.404166666666667e+00, -4.210593881378328e-01,  1.195838166207606e-01,  8.475169903503762e-01, -3.369274229757860e-01, -1.766364574122505e+00, -2.846670918408907e+00
  6.408333333333333e+00, -4.296772352740813e-01,  1.211305903983540e-01,  8.505883260080890e-01, -3.917388174031176e-01, -1.771537336441557e+00, -2.841039638646461e+00
  6.412500000000000e+00, -4.382942165712547e-01,  1.228119853253383e-01,  8.537917499353780e-01, -4.469951330198111e-01, -1.775527493657531e+00, -2.834692578661446e+00
  6.416666666666667e+00, -4.469089532831632e-01,  1.246284478720917e-01,  8.571394429103434e-01, -5.026773345224476e-01, -1.778596147255493e+00, -2.827419349960039e+00
  6.420833333333333e+00, -4.555196045216209e-01,  1.265775448759568e-01,  8.606462768699524e-01, -5.587562175481817e-01, -1.780945539513033e+00, -2.819043441724507e+00
  6.425000000000000e+00, -4.641226579312625e-01,  1.286559974675419e-01,  8.643262436515591e-01, -6.151875532276266e-01, -1.782636336360235e+00, -2.809492623581914e+00
  6.429166666666666e+00, -4.727128971806362e-01,  1.308620029892507e-01,  8.681898297318125e-01, -6.719141975685617e-01, -1.783578834944675e+00, -2.798817154064116e+00
  6.433333333333334e+00, -4.812847803327223e-01,  1.331944260617735e-01,  8.722435285087815e-01, -7.288747633140654e-01, -1.783580057831292e+00, -2.787164944816642e+00
  6.437500000000000e+00, -4.898334734704161e-01,  1.356503524346428e-01,  8.764912019530475e-01, -7.860140381403261e-01, -1.782426802842778e+00, -2.774720554296179e+00
  6.441666666666666e+00, -4.983537350510181e-01,  1.382251313853326e-01,  8.809360727832878e-01, -8.432868759985005e-01, -1.779981184954284e+00, -2.761619364200133e+00
  6.445833333333334e+00, -5.068382305542194e-01,  1.409150617896757e-01,  8.855809622628978e-01, -9.006553347570406e-01, -1.776243293708326e+00, -2.747876526855183e+00
  6.450000000000000e+00, -5.152776889169944e-01,  1.437202388066161e-01,  8.904258476182816e-01, -9.580848722094751e-01, -1.771360938357687e+00, -2.733356772953070e+00
  6.454166666666667e+00, -5.236630153920249e-01,  1.466449772059624e-01,  8.954652904802586e-01, -1.015541368117407e+00, -1.765593817528345e+00, -2.717790613151571e+00
  6.458333333333333e+00, -5.319875692046158e-01,  1.496948669624210e-01,  9.006890811511211e-01, -1.072986919022572e+00, -1.759232281708981e+00, -2.700847823947679e+00
  6.462500000000000e+00, -5.402469784605559e-01,  1.528741267356666e-01,  9.060864773228482e-01, -1.130372936670295e+00, -1.752502475406998e+00, -2.682239033296439e+00
  6.466666666666667e+00, -5.484366851359528e-01,  1.561862691387393e-01,  9.116503986317883e-01, -1.187634225981927e+00, -1.745507086371112e+00, -2.661789018847153e+00
  6.470833333333333e+00, -5.565507031783041e-01,  1.596349909062464e-01,  9.173780069795144e-01, -1.244691665384076e+00, -1.738214610287982e+00, -2.639462537325882e+00
  6.475000000000000e+00, -5.645821116185915e-01,  1.632230201930937e-01,  9.232690679058204e-01, -1.301461529517612e+00, -1.730502156294502e+00, -2.615333721409659e+00
  6.479166666666667e+00, -5.725225254387762e-01,  1.669519726421290e-01,  9.293247184384651e-01, -1.357858244558722e+00, -1.722243165926927e+00, -2.589497434387559e+00
  6.483333333333333e+00, -5.803602856894277e-01,  1.708247339084997e-01,  9.355459826461621e-01, -1.413785736387451e+00, -1.713373723677963e+00, -2.561988234973485e+00
  6.487500000000000e+00, -5.880800005812161e-01,  1.748467920111645e-01,  9.419325358767623e-01, -1.469131237424623e+00, -1.703869940897106e+00, -2.532800027873531e+00
  6.491666666666666e+00, -5.956657781944261e-01,  1.790231225252992e-01,  9.484840173044554e-01, -1.523779087312146e+00, -1.693654676415943e+00, -2.502008591712191e+00
  6.495833333333334e+00, -6.031067995316831e-01,  1.833523578951859e-01,  9.552023931486390e-01, -1.577639461779976e+00, -1.682542674370685e+00, -2.469862563507501e+00
  6.500000000000000e+00, -6.103996337110160e-01,  1.878240335311459e-01,  9.620920752817544e-01, -1.630662600002801e+00, -1.670301949538856e+00, -2.436720352507167e+00
  6.504166666666666e+00, -6.175447822216396e-01,  1.924223442846002e-01,  9.691577275092026e-01, -1.682823491843601e+00, -1.656767826485368e+00, -2.402894150660894e+00
  6.508333333333333e+00, -6.245419104391888e-01,  1.971328553948068e-01,  9.764019327736235e-01, -1.734095009168417e+00, -1.641905975976343e+00, -2.368540286526811e+00
  6.512500000000000e+00, -6.313882462207567e-01,  2.019460958871160e-01,  9.838242050561647e-01, -1.784430920897468e+00, -1.625802553612478e+00, -2.333643853323490e+00
  6.516666666666667e+00, -6.380794204205632e-01,  2.068570935305720e-01,  9.914212264951971e-01, -1.833761201069687e+00, -1.608616171673208e+00, -2.298064748115330e+00
  6.520833333333333e+00, -6.446087068207456e-01,  2.118645387473075e-01,  9.991879035335226e-01, -1.881988201797844e+00, -1.590532799520805e+00, -2.261595160500922e+00
  6.525000000000000e+00, -6.509633795269327e-01,  2.169705284256191e-01,  1.007118694662328e+00, -1.928984103668048e+00, -1.571726735950150e+00, -2.224027470446051e+00
  6.529166666666667e+00, -6.571239705575183e-01,  2.221777232267492e-01,  1.015207969266072e+00, -1.974614364820458e+00, -1.552302477441259e+00, -2.185263043617066e+00
  6.533333333333333e+00, -6.630713824454094e-01,  2.274842251686013e-01,  1.023449653587288e+00, -2.018794574705748e+00, -1.532235148231722e+00, -2.145421610429755e+00
  6.537500000000000e+00, -6.687959277082174e-01,  2.328813466144286e-01,  1.031837889417674e+00, -2.061542459688143e+00, -1.511358443371832e+00, -2.104870339260429e+00
  6.541666666666667e+00, -6.742983726996578e-01,  2.383565260561218e-01,  1.040368674010322e+00, -2.102975301709794e+00, -1.489430732461374e+00, -2.064126035420448e+00
