Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  4.583333333333333e-02,  9.341526333082235e-01,  2.608613942565758e-01,  1.349425624703648e-01,  5.818066140254317e-01,  3.866831265989189e-01,  5.466638778310821e-02
  5.000000000000000e-02,  9.314310115870109e-01,  2.615007431367424e-01,  1.359086590292254e-01,  5.877426600936220e-01,  3.951115435797978e-01,  5.488736110452645e-02
  5.416666666666666e-02,  9.295934299931791e-01,  2.617242640833268e-01,  1.366225770595559e-01,  5.946806599676404e-01,  4.013503981236550e-01,  5.432386164931825e-02
  5.833333333333333e-02,  9.285692180228599e-01,  2.615828432655338e-01,  1.371198548681001e-01,  6.025309954313292e-01,  4.055362133180800e-01,  5.299839451921426e-02
  6.250000000000000e-02,  9.282928701231719e-01,  2.611301960371912e-01,  1.374241772089105e-01,  6.112344500535698e-01,  4.078555323806188e-01,  5.096484184701877e-02
  6.666666666666667e-02,  9.287065159685046e-01,  2.604155057898245e-01,  1.375533539001649e-01,  6.207545920493528e-01,  4.085085209493273e-01,  4.829120787769603e-02
  7.083333333333333e-02,  9.297641775803230e-01,  2.594840665644969e-01,  1.375186236061813e-01,  6.310720703316648e-01,  4.076922051147957e-01,  4.504995167378400e-02
  7.500000000000000e-02,  9.314291857158626e-01,  2.583753701607494e-01,  1.373273455495087e-01,  6.421757848783877e-01,  4.055901324883738e-01,  4.131272051605409e-02
  7.916666666666666e-02,  9.336709861760313e-01,  2.571223092298378e-01,  1.369865648744889e-01,  6.540602139945733e-01,  4.023701903305053e-01,  3.714725261419628e-02
  8.333333333333333e-02,  9.364660435311687e-01,  2.557540042758542e-01,  1.365012086005394e-01,  6.667222114372545e-01,  3.981852786237743e-01,  3.261676233520185e-02
  8.749999999999999e-02,  9.397947022669297e-01,  2.542950826521817e-01,  1.358761954824543e-01,  6.801586829109790e-01,  3.931741161425831e-01,  2.777951538336495e-02
  9.166666666666666e-02,  9.436402271079679e-01,  2.527665525041647e-01,  1.351164390081676e-01,  6.943652222137552e-01,  3.874629765632558e-01,  2.268898814109872e-02
