Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  4.583333333333333e-02,  1.802308863551182e-01, -8.874402575850757e-02,  6.480347635590040e-01,  3.095989859734167e-01,  8.091133565816222e-01,  9.380033748586412e-02,  4.814577636324570e-01,  9.424925982535717e-01,  1.225710509168261e+00,  2.104152042009122e-01,  1.222175676707800e+00, -6.443206765845777e-01, -1.164752648520237e-01
  5.000000000000000e-02,  1.803972316398763e-01, -8.851764645680898e-02,  6.482971131993529e-01,  3.097573134071182e-01,  8.091438892024883e-01,  9.375923491673020e-02,  4.812585157352559e-01,  9.418566762853323e-01,  1.225740832922951e+00,  2.101302456378629e-01,  1.221864104426747e+00, -6.443677993899324e-01, -1.167041232298489e-01
  5.416666666666666e-02,  1.805296933357809e-01, -8.832037500374344e-02,  6.484966751615442e-01,  3.098745033033599e-01,  8.091694919561685e-01,  9.372570061941696e-02,  4.810997662106214e-01,  9.412137899619469e-01,  1.225860861219529e+00,  2.098455975298748e-01,  1.221529990921655e+00, -6.444418856400742e-01, -1.169279777450066e-01
  5.833333333333333e-02,  1.806311245188569e-01, -8.815007609682970e-02,  6.486389537094605e-01,  3.099541922251221e-01,  8.091905555045770e-01,  9.369911370309832e-02,  4.809796326356592e-01,  9.405667341008165e-01,  1.226057769901118e+00,  2.095649927787537e-01,  1.221169935574602e+00, -6.445428931256437e-01, -1.171461697733293e-01
  6.250000000000000e-02,  1.807019675510201e-01, -8.800893682478637e-02,  6.487262072948768e-01,  3.099982667615309e-01,  8.092069496614427e-01,  9.367949712066162e-02,  4.809001441414045e-01,  9.399107279817274e-01,  1.226319238784364e+00,  2.092934826275159e-01,  1.220775538743204e+00, -6.446699678552665e-01, -1.173580928936292e-01
  6.666666666666667e-02,  1.807462964556432e-01, -8.789339046830270e-02,  6.487659620983702e-01,  3.100116450299327e-01,  8.092192726251630e-01,  9.366593741841887e-02,  4.808555596934075e-01,  9.392507940806422e-01,  1.226630162231401e+00,  2.090345624815591e-01,  1.220346259665304e+00, -6.448225304941715e-01, -1.175635738417284e-01
  7.083333333333333e-02,  1.807659772258993e-01, -8.780322637022020e-02,  6.487624455348693e-01,  3.099973264959333e-01,  8.092276909347250e-01,  9.365808287609485e-02,  4.808427248628758e-01,  9.385871941094402e-01,  1.226978365068210e+00,  2.087921567344915e-01,  1.219879326433909e+00, -6.449993823554774e-01, -1.177626325316278e-01
  7.500000000000000e-02,  1.807611251997642e-01, -8.774075572629944e-02,  6.487171954633957e-01,  3.099567174282531e-01,  8.092320393988530e-01,  9.365602068118965e-02,  4.808601676531793e-01,  9.379170826965091e-01,  1.227354593830249e+00,  2.085703037692559e-01,  1.219370942731522e+00, -6.451987684514935e-01, -1.179555558724546e-01
  7.916666666666666e-02,  1.807348948426245e-01, -8.770300281183306e-02,  6.486359014449489e-01,  3.098935117911337e-01,  8.092327977702415e-01,  9.365903261497512e-02,  4.808995891720723e-01,  9.372471976318707e-01,  1.227748767144618e+00,  2.083712577464292e-01,  1.218825256920252e+00, -6.454191409350070e-01, -1.181431605981502e-01
  8.333333333333333e-02,  1.806877619767440e-01, -8.769102378783981e-02,  6.485202386013754e-01,  3.098090560343768e-01,  8.092299248751900e-01,  9.366708056426763e-02,  4.809563992176631e-01,  9.365786225949330e-01,  1.228154597674478e+00,  2.081976744348196e-01,  1.218243388401650e+00, -6.456583642824064e-01, -1.183263807586368e-01
  8.749999999999999e-02,  1.806206076953769e-01, -8.770487227551507e-02,  6.483722688701404e-01,  3.097048446716558e-01,  8.092234880455714e-01,  9.368000498049953e-02,  4.810243159304713e-01,  9.359148951571780e-01,  1.228567033227971e+00,  2.080514169220081e-01,  1.217629082792597e+00, -6.459141910513932e-01, -1.185064282426581e-01
  9.166666666666666e-02,  1.805340751456763e-01, -8.774468730851656e-02,  6.481935442795576e-01,  3.095820195301008e-01,  8.092135289396620e-01,  9.369769387170650e-02,  4.810967114605329e-01,  9.352601573731717e-01,  1.228982692271676e+00,  2.079338025347526e-01,  1.216987310209960e+00, -6.461842020214268e-01, -1.186847266557326e-01
  9.583333333333333e-02,  1.804292942484294e-01, -8.780951500350621e-02,  6.479861448009634e-01,  3.094419587916413e-01,  8.092002111321718e-01,  9.371989466277458e-02,  4.811655268190977e-01,  9.346208960868244e-01,  1.229399175995848e+00,  2.078453252599045e-01,  1.216325312150153e+00, -6.464659891408540e-01, -1.188628493404491e-01
  9.999999999999999e-02,  1.803053934371292e-01, -8.790144577302154e-02,  6.477491660888627e-01,  3.092843026882716e-01,  8.091833064974694e-01,  9.374686441892348e-02,  4.812257610417825e-01,  9.339993946770947e-01,  1.229817028673577e+00,  2.077866129821991e-01,  1.215648181976117e+00, -6.467566864132712e-01, -1.190425660765610e-01
  1.041666666666667e-01,  1.801631429576521e-01, -8.801960005612988e-02,  6.474838856173449e-01,  3.091098671336461e-01,  8.091629440167978e-01,  9.377841975988070e-02,  4.812693023667406e-01,  9.334030016394759e-01,  1.230236633929536e+00,  2.077570346157009e-01,  1.214964869871869e+00, -6.470537559439022e-01, -1.192256621399120e-01
