Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  4.583333333333333e-02,  1.415122530713908e-01, -1.740137114542717e-01,  5.998107027867642e-01,  2.868463561355095e-01,  7.994984805747277e-01,  1.048537867840745e-01,  1.724758948323147e-01,  1.318035549494291e+00,  1.319336579130415e+00,  1.120529147169713e-01,  1.641494667527452e+00, -7.331849714975528e-01, -2.651340735471965e-01
  5.000000000000000e-02,  1.413319051908528e-01, -1.751717727157624e-01,  5.999609316369335e-01,  2.870936188128724e-01,  7.993966505137434e-01,  1.049385493138134e-01,  1.707937957234054e-01,  1.318847991829550e+00,  1.318858399759361e+00,  1.122707787266967e-01,  1.641562767509279e+00, -7.340509818399173e-01, -2.644773364425811e-01
  5.416666666666666e-02,  1.411745080733607e-01, -1.763180637130559e-01,  6.001633621730498e-01,  2.873750071043973e-01,  7.992977655787729e-01,  1.050183066173551e-01,  1.691099762502574e-01,  1.319733299460083e+00,  1.318441114145680e+00,  1.124374135550360e-01,  1.641769972067494e+00, -7.348772192125300e-01, -2.638703895692522e-01
  5.833333333333333e-02,  1.410457790211182e-01, -1.774428922743664e-01,  6.004276161474037e-01,  2.876959129908420e-01,  7.992030524774223e-01,  1.050915371767997e-01,  1.674821644995246e-01,  1.320612379867594e+00,  1.318005981695639e+00,  1.126333243978696e-01,  1.641996084718839e+00, -7.356378217787046e-01, -2.633177764037432e-01
  6.250000000000000e-02,  1.409362444918176e-01, -1.785529214361032e-01,  6.007332314027947e-01,  2.880432866056111e-01,  7.991112316436656e-01,  1.051602913112236e-01,  1.658028552470429e-01,  1.321656050238750e+00,  1.317715760170150e+00,  1.126730644229673e-01,  1.642492542895911e+00, -7.363820728062244e-01, -2.628065504841279e-01
  6.666666666666667e-02,  1.408559263531911e-01, -1.796333450612016e-01,  6.010980878856239e-01,  2.884275218353287e-01,  7.990242731879106e-01,  1.052220181181791e-01,  1.641837007439739e-01,  1.322699475891687e+00,  1.317409440105876e+00,  1.127284068464205e-01,  1.643015687652828e+00, -7.370576346610023e-01, -2.623484461870564e-01
  7.083333333333333e-02,  1.408040011245562e-01, -1.806812725726063e-01,  6.015187062302243e-01,  2.888459595506102e-01,  7.989423394468084e-01,  1.052767280662098e-01,  1.626194957517906e-01,  1.323754937989440e+00,  1.317098862079908e+00,  1.127814158950836e-01,  1.643584758817001e+00, -7.376666079314823e-01, -2.619417118557441e-01
  7.500000000000000e-02,  1.407717420173946e-01, -1.817025300941491e-01,  6.019759837399646e-01,  2.892863583294676e-01,  7.988642649417460e-01,  1.053263095441434e-01,  1.610189274278695e-01,  1.324966008545195e+00,  1.316922654447527e+00,  1.126742926271639e-01,  1.644412789959859e+00, -7.382516675183989e-01, -2.615744706091218e-01
  7.916666666666666e-02,  1.407688014048434e-01, -1.826830728302747e-01,  6.024872475686408e-01,  2.897588638527954e-01,  7.987919312315233e-01,  1.053683167173570e-01,  1.594960854267720e-01,  1.326161975208902e+00,  1.316718390490355e+00,  1.125823943302659e-01,  1.645250082621463e+00, -7.387605874150776e-01, -2.612577693120119e-01
  8.333333333333333e-02,  1.407914954846596e-01, -1.836235543896509e-01,  6.030435045462362e-01,  2.902574905927657e-01,  7.987249824654150e-01,  1.054034671342345e-01,  1.580194102713483e-01,  1.327394252856125e+00,  1.316538655012285e+00,  1.124441747032385e-01,  1.646174934178600e+00, -7.392095589295925e-01, -2.609853418262617e-01
  8.749999999999999e-02,  1.408397679436988e-01, -1.845208089535374e-01,  6.036429848194217e-01,  2.907807067883728e-01,  7.986636555172719e-01,  1.054316295354578e-01,  1.565984094957320e-01,  1.328651409750475e+00,  1.316376226944968e+00,  1.122647647765304e-01,  1.647173505060283e+00, -7.395958662796099e-01, -2.607558416483253e-01
  9.166666666666666e-02,  1.409133071133747e-01, -1.853720904168805e-01,  6.042834653787923e-01,  2.913267210239742e-01,  7.986081309687444e-01,  1.054527428803566e-01,  1.552410735213359e-01,  1.329924167449500e+00,  1.316226904301794e+00,  1.120464997354843e-01,  1.648235415671193e+00, -7.399180795676126e-01, -2.605673560527706e-01
  9.583333333333333e-02,  1.410154684087311e-01, -1.861707565475610e-01,  6.049700246392290e-01,  2.918982639154403e-01,  7.985591970223394e-01,  1.054658804527992e-01,  1.539971589378465e-01,  1.331139361589244e+00,  1.316026242250311e+00,  1.118591457033491e-01,  1.649256923308777e+00, -7.401554848730821e-01, -2.604232249085248e-01
  9.999999999999999e-02,  1.411389040412840e-01, -1.869220111481010e-01,  6.056865936917291e-01,  2.924850314003848e-01,  7.985158229395320e-01,  1.054726751263924e-01,  1.527987509229380e-01,  1.332403375708709e+00,  1.315882168531423e+00,  1.115816885254306e-01,  1.650397618362839e+00, -7.403434891134488e-01, -2.603112438012797e-01
  1.041666666666667e-01,  1.412861880372408e-01, -1.876202623925896e-01,  6.064367589221930e-01,  2.930888473150032e-01,  7.984786445362604e-01,  1.054724024378101e-01,  1.516882252883655e-01,  1.333654198254894e+00,  1.315741755307279e+00,  1.112722178596638e-01,  1.651570435818447e+00, -7.404653581956951e-01, -2.602340394194511e-01
  1.083333333333333e-01,  1.414561163604733e-01, -1.882641827549769e-01,  6.072166718537730e-01,  2.937069601337410e-01,  7.984476483450436e-01,  1.054652468147679e-01,  1.506661105869050e-01,  1.334893823104890e+00,  1.315613489814782e+00,  1.109209464678939e-01,  1.652781863291166e+00, -7.405246010949743e-01, -2.601888405253666e-01
  1.125000000000000e-01,  1.416494337328668e-01, -1.888503381309024e-01,  6.080263466040657e-01,  2.943390039306608e-01,  7.984231421854358e-01,  1.054509332361920e-01,  1.497577845906000e-01,  1.336085397990644e+00,  1.315470666690518e+00,  1.105583467456770e-01,  1.653982305754846e+00, -7.405135589386408e-01, -2.601750266417902e-01
  1.166666666666667e-01,  1.418648557763975e-01, -1.893776669612449e-01,  6.088618306393334e-01,  2.949821746038161e-01,  7.984050804384307e-01,  1.054296792283225e-01,  1.489637049956849e-01,  1.337230744780215e+00,  1.315322304346453e+00,  1.101751056362232e-01,  1.655178104803806e+00, -7.404362090695934e-01, -2.601901099001329e-01
  1.208333333333333e-01,  1.421016269105365e-01, -1.898445929760265e-01,  6.097202378867282e-01,  2.956343270961211e-01,  7.983934982618071e-01,  1.054015824805197e-01,  1.482912586935648e-01,  1.338320685063876e+00,  1.315167546393330e+00,  1.097735795540576e-01,  1.656359686271606e+00, -7.402934887598859e-01, -2.602323583221781e-01
  1.250000000000000e-01,  1.423555222147911e-01, -1.902533595857846e-01,  6.105918081458784e-01,  2.962890289694049e-01,  7.983878365247976e-01,  1.053675775503771e-01,  1.477077682928480e-01,  1.339407319274124e+00,  1.315062423201885e+00,  1.092934367484423e-01,  1.657606835311572e+00, -7.401044469141869e-01, -2.602961592281810e-01
  1.291666666666667e-01,  1.426324015146574e-01, -1.905954745720871e-01,  6.114869003094110e-01,  2.969524065163829e-01,  7.983892259434713e-01,  1.053261939257104e-01,  1.472969742836568e-01,  1.340363815861988e+00,  1.314896978696601e+00,  1.088590298944891e-01,  1.658738003509914e+00, -7.398358459557490e-01, -2.603881740336162e-01
  1.333333333333333e-01,  1.429280318143573e-01, -1.908734014890695e-01,  6.123958225841144e-01,  2.976180858478950e-01,  7.983970864460077e-01,  1.052783813414259e-01,  1.470261387561620e-01,  1.341241722179859e+00,  1.314726888108704e+00,  1.084112662439470e-01,  1.659832014117668e+00, -7.395069416830894e-01, -2.605032299168319e-01
  1.375000000000000e-01,  1.432416360536020e-01, -1.910860022065501e-01,  6.133158140474999e-01,  2.982840214265151e-01,  7.984114101059010e-01,  1.052242701092514e-01,  1.469019618129279e-01,  1.342031723006938e+00,  1.314551047065988e+00,  1.079544327210648e-01,  1.660878655907659e+00, -7.391191350324902e-01, -2.606406483530410e-01
