Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_ObjectPos.Pos
  3.500000000000000e-01, -9.934787858388777e-01
  3.541666666666667e-01, -1.042580709133924e+00
  3.583333333333333e-01, -1.091609676908892e+00
  3.625000000000000e-01, -1.140185488473468e+00
  3.666666666666667e-01, -1.187954374324264e+00
  3.708333333333333e-01, -1.234670524124218e+00
  3.750000000000000e-01, -1.280187007984693e+00
  3.791666666666667e-01, -1.324464490188787e+00
  3.833333333333334e-01, -1.367537310942962e+00
  3.875000000000000e-01, -1.409489547043495e+00
  3.916666666666667e-01, -1.450430843269550e+00
  3.958333333333333e-01, -1.490480094194329e+00
  4.000000000000000e-01, -1.529755628680488e+00
  4.041666666666667e-01, -1.568368819333920e+00
  4.083333333333333e-01, -1.606421679790331e+00
  4.125000000000000e-01, -1.644005268438452e+00
  4.166666666666667e-01, -1.681201079161300e+00
  4.208333333333333e-01, -1.718079101606513e+00
  4.250000000000000e-01, -1.754700296620124e+00
  4.291666666666667e-01, -1.791116961702278e+00
  4.333333333333333e-01, -1.827373624173765e+00
  4.375000000000000e-01, -1.863507838598602e+00
  4.416666666666667e-01, -1.899551408933691e+00
  4.458333333333334e-01, -1.935530656490068e+00
  4.500000000000000e-01, -1.971467570028536e+00
  4.541666666666667e-01, -2.007380432936580e+00
  4.583333333333334e-01, -2.043284493337286e+00
  4.625000000000000e-01, -2.079192389273426e+00
  4.666666666666667e-01, -2.115115443785501e+00
  4.708333333333333e-01, -2.151063070683887e+00
  4.750000000000000e-01, -2.187043923866370e+00
  4.791666666666666e-01, -2.223066605861086e+00
  4.833333333333333e-01, -2.259137139422978e+00
  4.875000000000000e-01, -2.295266335090298e+00
  4.916666666666667e-01, -2.331458786552975e+00
  4.958333333333334e-01, -2.367726415657448e+00
  5.000000000000000e-01, -2.404076334920521e+00
  5.041666666666667e-01, -2.440517785245997e+00
  5.083333333333333e-01, -2.477060969702009e+00
  5.125000000000000e-01, -2.513716428922273e+00
  5.166666666666666e-01, -2.550494168473207e+00
  5.208333333333334e-01, -2.587405086141668e+00
  5.249999999999999e-01, -2.624459902204130e+00
  5.291666666666667e-01, -2.661668428480146e+00
  5.333333333333333e-01, -2.699040394561525e+00
  5.375000000000000e-01, -2.736584458952446e+00
  5.416666666666667e-01, -2.774308126192109e+00
  5.458333333333333e-01, -2.812217699310019e+00
  5.499999999999999e-01, -2.850317397467125e+00
  5.541666666666666e-01, -2.888610290484644e+00
  5.583333333333333e-01, -2.927097606111122e+00
  5.624999999999999e-01, -2.965779118789560e+00
  5.666666666666667e-01, -3.004652813718410e+00
  5.708333333333333e-01, -3.043715972374825e+00
  5.750000000000000e-01, -3.082965083394843e+00
  5.791666666666666e-01, -3.122396487113428e+00
  5.833333333333333e-01, -3.162006992238372e+00
  5.875000000000000e-01, -3.201794579499791e+00
  5.916666666666666e-01, -3.241759415337130e+00
  5.958333333333333e-01, -3.281903836375914e+00
  6.000000000000000e-01, -3.322234558301521e+00
  6.041666666666666e-01, -3.362762894225217e+00
  6.083333333333333e-01, -3.403506084042678e+00
  6.124999999999999e-01, -3.444488560590810e+00
  6.166666666666666e-01, -3.485743788044054e+00
  6.208333333333333e-01, -3.527313679264845e+00
  6.249999999999999e-01, -3.569256741978847e+00
  6.291666666666667e-01, -3.611638150882725e+00
  6.333333333333332e-01, -3.654543866543215e+00
  6.375000000000000e-01, -3.698076806413481e+00
  6.416666666666666e-01, -3.742355531740286e+00
  6.458333333333333e-01, -3.787523724622714e+00
  6.500000000000000e-01, -3.833724707756188e+00
  6.541666666666666e-01, -3.881110376308321e+00
  6.583333333333333e-01, -3.929806815294520e+00
  6.625000000000000e-01, -3.979866833072483e+00
  6.666666666666666e-01, -4.031223303097862e+00
  6.708333333333333e-01, -4.083626238755976e+00
  6.749999999999999e-01, -4.136616464123235e+00
  6.791666666666666e-01, -4.189578904029303e+00
  6.833333333333332e-01, -4.241874044658612e+00
  6.875000000000000e-01, -4.292972633518652e+00
  6.916666666666667e-01, -4.342544975451649e+00
  6.958333333333333e-01, -4.390461412482027e+00
  7.000000000000000e-01, -4.436744083042698e+00
  7.041666666666666e-01, -4.481501041019274e+00
  7.083333333333333e-01, -4.524887519646060e+00
  7.125000000000000e-01, -4.567071548669944e+00
  7.166666666666666e-01, -4.608216813395166e+00
  7.208333333333333e-01, -4.648474379432527e+00
  7.249999999999999e-01, -4.687979352327435e+00
  7.291666666666666e-01, -4.726851358962164e+00
  7.333333333333333e-01, -4.765193969720283e+00
  7.374999999999999e-01, -4.803097261227288e+00
  7.416666666666667e-01, -4.840639048176844e+00
  7.458333333333332e-01, -4.877886498311645e+00
  7.500000000000000e-01, -4.914897196648812e+00
  7.541666666666667e-01, -4.951720807800212e+00
  7.583333333333333e-01, -4.988400181723956e+00
  7.625000000000000e-01, -5.024971989729349e+00
  7.666666666666666e-01, -5.061467343694432e+00
  7.708333333333333e-01, -5.097913770197669e+00
  7.749999999999999e-01, -5.134334283377226e+00
  7.791666666666666e-01, -5.170749265141068e+00
  7.833333333333333e-01, -5.207176210203566e+00
  7.875000000000000e-01, -5.243630622679738e+00
  7.916666666666666e-01, -5.280125503338832e+00
  7.958333333333333e-01, -5.316673882484698e+00
  7.999999999999999e-01, -5.353286127068285e+00
  8.041666666666667e-01, -5.389972834779088e+00
  8.083333333333332e-01, -5.426743423948890e+00
  8.125000000000000e-01, -5.463606925056006e+00
  8.166666666666665e-01, -5.500571935241063e+00
  8.208333333333333e-01, -5.537646604634111e+00
  8.250000000000000e-01, -5.574838672533043e+00
  8.291666666666666e-01, -5.612155450215991e+00
  8.333333333333334e-01, -5.649603711334504e+00
  8.374999999999999e-01, -5.687189620086587e+00
  8.416666666666667e-01, -5.724918567701674e+00
  8.458333333333333e-01, -5.762795073155002e+00
  8.500000000000000e-01, -5.800822621528852e+00
  8.541666666666666e-01, -5.839003586152728e+00
  8.583333333333332e-01, -5.877339110155786e+00
  8.624999999999999e-01, -5.915829083834534e+00
  8.666666666666666e-01, -5.954472105547248e+00
  8.708333333333333e-01, -5.993265555473203e+00
  8.749999999999999e-01, -6.032205695908438e+00
  8.791666666666665e-01, -6.071287842555861e+00
  8.833333333333333e-01, -6.110506566963201e+00
  8.875000000000000e-01, -6.149855997114478e+00
  8.916666666666667e-01, -6.189330132642800e+00
  8.958333333333333e-01, -6.228923164795883e+00
  8.999999999999999e-01, -6.268629892577660e+00
  9.041666666666667e-01, -6.308446117280424e+00
  9.083333333333333e-01, -6.348369035384301e+00
  9.124999999999999e-01, -6.388397691225026e+00
  9.166666666666666e-01, -6.428533386468874e+00
  9.208333333333333e-01, -6.468780136828895e+00
  9.250000000000000e-01, -6.509145152744429e+00
  9.291666666666666e-01, -6.549639224006095e+00
  9.333333333333332e-01, -6.590277337771345e+00
  9.375000000000000e-01, -6.631079297347659e+00
  9.416666666666667e-01, -6.672069896804753e+00
  9.458333333333334e-01, -6.713280361012011e+00
  9.499999999999998e-01, -6.754747763993366e+00
  9.541666666666666e-01, -6.796518729905173e+00
  9.583333333333333e-01, -6.838643782000240e+00
  9.625000000000000e-01, -6.881185079762552e+00
  9.666666666666666e-01, -6.924211703010172e+00
  9.708333333333332e-01, -6.967800623007182e+00
  9.750000000000000e-01, -7.012032138034984e+00
  9.791666666666666e-01, -7.056989958910793e+00
  9.833333333333334e-01, -7.102739435867489e+00
  9.874999999999999e-01, -7.149326870785294e+00
  9.916666666666666e-01, -7.196749064288380e+00
  9.958333333333333e-01, -7.244929215744653e+00
  1.000000000000000e+00, -7.293697711116523e+00
  1.004166666666667e+00, -7.342780862797778e+00
  1.008333333333333e+00, -7.391826251204644e+00
  1.012500000000000e+00, -7.440454327615835e+00
  1.016666666666667e+00, -7.488322509773911e+00
  1.020833333333333e+00, -7.535180449180883e+00
  1.025000000000000e+00, -7.580883659725814e+00
  1.029166666666667e+00, -7.625389164093409e+00
  1.033333333333333e+00, -7.668731204002133e+00
  1.037500000000000e+00, -7.710990930438081e+00
  1.041666666666667e+00, -7.752274320916634e+00
  1.045833333333333e+00, -7.792700527152923e+00
  1.050000000000000e+00, -7.832384811313097e+00
  1.054166666666667e+00, -7.871435289924197e+00
  1.058333333333333e+00, -7.909951414020327e+00
  1.062500000000000e+00, -7.948021848281623e+00
  1.066666666666667e+00, -7.985724400137140e+00
  1.070833333333334e+00, -8.023126517002860e+00
  1.075000000000000e+00, -8.060286074403464e+00
  1.079166666666667e+00, -8.097252296176723e+00
  1.083333333333333e+00, -8.134066718309224e+00
  1.087500000000000e+00, -8.170764148038483e+00
  1.091666666666667e+00, -8.207373591868777e+00
  1.095833333333333e+00, -8.243919137857715e+00
  1.100000000000000e+00, -8.280420783656549e+00
  1.104166666666667e+00, -8.316895205100643e+00
  1.108333333333333e+00, -8.353356462125241e+00
  1.112500000000000e+00, -8.389816517432509e+00
  1.116666666666667e+00, -8.426286292184150e+00
  1.120833333333333e+00, -8.462775213759636e+00
  1.125000000000000e+00, -8.499293417551808e+00
  1.129166666666667e+00, -8.535849722882553e+00
  1.133333333333333e+00, -8.572452332849961e+00
  1.137500000000000e+00, -8.609114671665841e+00
  1.141666666666667e+00, -8.645844307655056e+00
  1.145833333333333e+00, -8.682653746578039e+00
  1.150000000000000e+00, -8.719555898021211e+00
  1.154166666666667e+00, -8.756563764539234e+00
  1.158333333333333e+00, -8.793691693552244e+00
  1.162500000000000e+00, -8.830953870635629e+00
  1.166666666666667e+00, -8.868365161824002e+00
  1.170833333333333e+00, -8.905940720336936e+00
  1.175000000000000e+00, -8.943695198117137e+00
  1.179166666666667e+00, -8.981642530774717e+00
  1.183333333333334e+00, -9.019795721932079e+00
  1.187500000000000e+00, -9.058165715786465e+00
  1.191666666666667e+00, -9.096762132827212e+00
  1.195833333333334e+00, -9.135592296500333e+00
  1.200000000000000e+00, -9.174661385250328e+00
  1.204166666666667e+00, -9.213971835364156e+00
  1.208333333333333e+00, -9.253524273079222e+00
  1.212500000000000e+00, -9.293317242349222e+00
  1.216666666666667e+00, -9.333347748840229e+00
  1.220833333333333e+00, -9.373611816056439e+00
  1.225000000000000e+00, -9.414105168407838e+00
  1.229166666666667e+00, -9.454824024506168e+00
  1.233333333333333e+00, -9.495765984840471e+00
  1.237500000000000e+00, -9.536931002519136e+00
  1.241666666666667e+00, -9.578322433145837e+00
  1.245833333333333e+00, -9.619948169410911e+00
  1.250000000000000e+00, -9.661821876777907e+00
  1.254166666666667e+00, -9.703964357708353e+00
  1.258333333333333e+00, -9.746405860127703e+00
  1.262500000000000e+00, -9.789184903453469e+00
  1.266666666666667e+00, -9.832355215002295e+00
  1.270833333333333e+00, -9.875982405191820e+00
  1.275000000000000e+00, -9.920153173684886e+00
  1.279166666666667e+00, -9.964968400924811e+00
  1.283333333333333e+00, -1.001055561396986e+01
  1.287500000000000e+00, -1.005706395061117e+01
  1.291666666666667e+00, -1.010466465733762e+01
  1.295833333333333e+00, -1.015353976510623e+01
  1.300000000000000e+00, -1.020385565592922e+01
  1.304166666666667e+00, -1.025573069798250e+01
  1.308333333333334e+00, -1.030915192547340e+01
  1.312500000000000e+00, -1.036389034724197e+01
  1.316666666666667e+00, -1.041943578245632e+01
  1.320833333333333e+00, -1.047503655687468e+01
  1.325000000000000e+00, -1.052986167596661e+01
  1.329166666666667e+00, -1.058322114973155e+01
  1.333333333333333e+00, -1.063470036027944e+01
  1.337500000000000e+00, -1.068415833808794e+01
  1.341666666666667e+00, -1.073165481530557e+01
  1.345833333333333e+00, -1.077735698052239e+01
  1.350000000000000e+00, -1.082147476138270e+01
  1.354166666666667e+00, -1.086422788928849e+01
  1.358333333333333e+00, -1.090581855032194e+01
  1.362500000000000e+00, -1.094642921133725e+01
  1.366666666666667e+00, -1.098621720023102e+01
  1.370833333333333e+00, -1.102531957160778e+01
  1.375000000000000e+00, -1.106385311005421e+01
  1.379166666666667e+00, -1.110191732064938e+01
  1.383333333333334e+00, -1.113959685782554e+01
  1.387500000000000e+00, -1.117696371325014e+01
  1.391666666666667e+00, -1.121407913129278e+01
  1.395833333333333e+00, -1.125099526669203e+01
  1.400000000000000e+00, -1.128775661517835e+01
  1.404166666666667e+00, -1.132440125032240e+01
  1.408333333333333e+00, -1.136096189657582e+01
  1.412500000000000e+00, -1.139746686321827e+01
  1.416666666666667e+00, -1.143394085850015e+01
  1.420833333333333e+00, -1.147040569834274e+01
  1.425000000000000e+00, -1.150688092062432e+01
  1.429166666666667e+00, -1.154338431088536e+01
  1.433333333333333e+00, -1.157993234625629e+01
  1.437500000000000e+00, -1.161654055912385e+01
  1.441666666666667e+00, -1.165322382295001e+01
  1.445833333333333e+00, -1.168999656055009e+01
  1.450000000000000e+00, -1.172687294838641e+01
  1.454166666666667e+00, -1.176386668901495e+01
  1.458333333333333e+00, -1.180099141263561e+01
  1.462500000000000e+00, -1.183826031147246e+01
  1.466666666666667e+00, -1.187568605353525e+01
  1.470833333333333e+00, -1.191328057012810e+01
  1.475000000000000e+00, -1.195105479816278e+01
  1.479166666666667e+00, -1.198901839283749e+01
  1.483333333333333e+00, -1.202717943008754e+01
  1.487500000000000e+00, -1.206554412116572e+01
  1.491666666666667e+00, -1.210411646212858e+01
  1.495833333333333e+00, -1.214289826800433e+01
  1.500000000000000e+00, -1.218188936344836e+01
  1.504166666666667e+00, -1.222108570774686e+01
  1.508333333333334e+00, -1.226048361801178e+01
  1.512500000000000e+00, -1.230007408413048e+01
  1.516666666666667e+00, -1.233984824570478e+01
  1.520833333333333e+00, -1.237979509806907e+01
  1.525000000000000e+00, -1.241990420403011e+01
  1.529166666666667e+00, -1.246016345989532e+01
  1.533333333333333e+00, -1.250056093709430e+01
  1.537500000000000e+00, -1.254108593958426e+01
  1.541666666666667e+00, -1.258172948128115e+01
  1.545833333333333e+00, -1.262248452749327e+01
  1.550000000000000e+00, -1.266334674980436e+01
  1.554166666666667e+00, -1.270431510877753e+01
  1.558333333333333e+00, -1.274539243078188e+01
  1.562500000000000e+00, -1.278658599096618e+01
  1.566666666666667e+00, -1.282790811818135e+01
  1.570833333333333e+00, -1.286937684042729e+01
  1.575000000000000e+00, -1.291101659005865e+01
  1.579166666666667e+00, -1.295285898526678e+01
  1.583333333333333e+00, -1.299494314361687e+01
  1.587500000000000e+00, -1.303731870425671e+01
  1.591666666666667e+00, -1.308004381608543e+01
  1.595833333333333e+00, -1.312319031861825e+01
  1.600000000000000e+00, -1.316683490189507e+01
  1.604166666666667e+00, -1.321107146955636e+01
  1.608333333333333e+00, -1.325600139256898e+01
  1.612500000000000e+00, -1.330172974517073e+01
  1.616666666666667e+00, -1.334835927596963e+01
  1.620833333333334e+00, -1.339597295819883e+01
  1.625000000000000e+00, -1.344459436138499e+01
  1.629166666666667e+00, -1.349417206989679e+01
  1.633333333333334e+00, -1.354453483253748e+01
  1.637500000000000e+00, -1.359536351734376e+01
  1.641666666666667e+00, -1.364622318114034e+01
  1.645833333333333e+00, -1.369662859458893e+01
  1.650000000000000e+00, -1.374613140741217e+01
  1.654166666666667e+00, -1.379441959966615e+01
  1.658333333333333e+00, -1.384131712816597e+01
  1.662500000000000e+00, -1.388678483999132e+01
  1.666666666666667e+00, -1.393087802128296e+01
