Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristHand
  4.583333333333333e-02, -2.512448029337630e-03, -2.828494057297565e-01,  1.412405605139529e-01,  7.042116224075186e-02,  8.118044249199208e-01,  1.183225154855171e-01,  3.595589043480921e-02, -2.045380356952952e-01,  9.487353215001915e-01,  8.830971148617238e-01,  1.369434914803622e+00, -5.591250993617203e-01, -1.049237460481426e-01
  5.000000000000000e-02, -2.598460330537852e-03, -2.836263269616402e-01,  1.409409279842337e-01,  7.036182924839866e-02,  8.117395570001692e-01,  1.183879375972097e-01,  3.511368255072519e-02, -1.987849655947361e-01,  9.499527906929094e-01,  8.818179456758116e-01,  1.375599977833206e+00, -5.600580810940738e-01, -1.037629902651756e-01
  5.416666666666666e-02, -2.679638995105993e-03, -2.844348366586036e-01,  1.406738822636891e-01,  7.031659828162376e-02,  8.116694470528790e-01,  1.184573480861100e-01,  3.427707772886367e-02, -1.929697892418430e-01,  9.511062321947036e-01,  8.804860911781605e-01,  1.381751364135315e+00, -5.608860098855020e-01, -1.025448999440020e-01
  5.833333333333333e-02, -2.754253159548387e-03, -2.852812261993424e-01,  1.404506294260766e-01,  7.029000608898402e-02,  8.115927622853368e-01,  1.185316959306362e-01,  3.344286718137077e-02, -1.871063298482230e-01,  9.521871550003513e-01,  8.791033381095220e-01,  1.387872626396991e+00, -5.615947724175658e-01, -1.012766847350799e-01
  6.250000000000000e-02, -2.823873709214789e-03, -2.861633760094207e-01,  1.402622219231704e-01,  7.027859359208100e-02,  8.115102651151617e-01,  1.186104855856270e-01,  3.263642717578226e-02, -1.812331785386256e-01,  9.531992647071931e-01,  8.776646181088711e-01,  1.393912952511098e+00, -5.621744734831344e-01, -9.992942917191873e-02
  6.666666666666667e-02, -2.886683642090757e-03, -2.870862072539558e-01,  1.401200987181107e-01,  7.028689646833820e-02,  8.114207600839594e-01,  1.186945334057027e-01,  3.185250167286750e-02, -1.753620588460849e-01,  9.541355129444643e-01,  8.761703722900812e-01,  1.399859444127991e+00, -5.626121825178367e-01, -9.851002205758781e-02
  7.083333333333333e-02, -2.942037796828401e-03, -2.880526084257820e-01,  1.400287954940723e-01,  7.031677022920249e-02,  8.113236824248882e-01,  1.187842378844727e-01,  3.109520718457428e-02, -1.695132597963619e-01,  9.549936805626521e-01,  8.746180934929760e-01,  1.405688728130615e+00, -5.628968168860098e-01, -9.701364321394036e-02
  7.500000000000000e-02, -2.989291728182661e-03, -2.890653634900831e-01,  1.399928581433141e-01,  7.037007224330585e-02,  8.112184829168549e-01,  1.188799807562688e-01,  3.036769747406387e-02, -1.637062731188348e-01,  9.557723192100984e-01,  8.730045604567076e-01,  1.411379710437223e+00, -5.630175212526276e-01, -9.543579896210268e-02
  7.916666666666666e-02, -3.027815898574969e-03, -2.901271170278363e-01,  1.400167542642956e-01,  7.044862847875907e-02,  8.111046378663681e-01,  1.189821196498355e-01,  2.967227593387326e-02, -1.579598011644490e-01,  9.564707185058524e-01,  8.713259119006574e-01,  1.416913577382247e+00, -5.629634607344149e-01, -9.377245831784599e-02
  8.333333333333333e-02, -3.057007915773581e-03, -2.912403297893169e-01,  1.401047920375594e-01,  7.055420242941463e-02,  8.109816596710030e-01,  1.190909800804776e-01,  2.901051378495617e-02, -1.522917610628565e-01,  9.570888613609156e-01,  8.695777345289222e-01,  1.422273660448724e+00, -5.627237309135895e-01, -9.202004684205287e-02
  8.749999999999999e-02, -3.076307565520855e-03, -2.924072587476624e-01,  1.402610276588068e-01,  7.068846142443744e-02,  8.108491054206919e-01,  1.192068495161509e-01,  2.838340964446582e-02, -1.467193439723986e-01,  9.576273784064113e-01,  8.677551618523878e-01,  1.427445224277592e+00, -5.622873933317047e-01, -9.017541431034863e-02
  9.166666666666666e-02, -3.085208912779256e-03, -2.936299148558456e-01,  1.404891829807240e-01,  7.085294514489306e-02,  8.107065871474195e-01,  1.193299697962838e-01,  2.779153074390782e-02, -1.412590491255507e-01,  9.580874882457969e-01,  8.658529591752604e-01,  1.432415482929204e+00, -5.616436188960381e-01, -8.823601862036069e-02
  9.583333333333333e-02, -3.083267262635190e-03, -2.949099863382195e-01,  1.407925833140081e-01,  7.104903914680134e-02,  8.105537843438857e-01,  1.194605271516950e-01,  2.723512633433069e-02, -1.359266793029963e-01,  9.584709224001120e-01,  8.638655960001097e-01,  1.437173940334702e+00, -5.607819416180271e-01, -8.620040551290047e-02
