Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  4.583333333333333e-02,  2.923330938482097e-01,  5.619531081199547e-02,  1.057123624657652e-01,  3.103495944804732e-01, -7.509748573215343e-02,  8.288499238010376e-02
  5.000000000000000e-02,  2.926150714242488e-01,  5.776854829743017e-02,  1.053439387856508e-01,  3.092467592121325e-01, -7.347686445997034e-02,  8.226983367275813e-02
  5.416666666666666e-02,  2.929285154115386e-01,  5.939359023581292e-02,  1.049623680451792e-01,  3.081718736891715e-01, -7.182634177645705e-02,  8.164225321504433e-02
  5.833333333333333e-02,  2.932772372216876e-01,  6.106949096032621e-02,  1.045658828565348e-01,  3.071318949863535e-01, -7.014738719520298e-02,  8.100075355667688e-02
  6.250000000000000e-02,  2.936642526561469e-01,  6.279260307036427e-02,  1.041454584503215e-01,  3.061326181555171e-01, -6.844717792120357e-02,  8.035497104007000e-02
  6.666666666666667e-02,  2.940937223640125e-01,  6.456172372886049e-02,  1.036983137403640e-01,  3.051809624865406e-01, -6.672754261772679e-02,  7.970368782537675e-02
  7.083333333333333e-02,  2.945696531185830e-01,  6.637462036682207e-02,  1.032191605220825e-01,  3.042835607591285e-01, -6.499231974836807e-02,  7.904930598744907e-02
  7.500000000000000e-02,  2.950961686226764e-01,  6.822889118078490e-02,  1.027024197245888e-01,  3.034470136922404e-01, -6.324551850296585e-02,  7.839424466395757e-02
  7.916666666666666e-02,  2.956774502194356e-01,  7.012197318406810e-02,  1.021422733877645e-01,  3.026778258318257e-01, -6.149130283944994e-02,  7.774091948152267e-02
  8.333333333333333e-02,  2.963176885756373e-01,  7.205115943240670e-02,  1.015327238298747e-01,  3.019823488170233e-01, -5.973397606515254e-02,  7.709171173421552e-02
  8.749999999999999e-02,  2.970210371672660e-01,  7.401361321117239e-02,  1.008676532830052e-01,  3.013667230337229e-01, -5.797796327900717e-02,  7.644894073947910e-02
  9.166666666666666e-02,  2.977915682049477e-01,  7.600637674752719e-02,  1.001408853414202e-01,  3.008368179007349e-01, -5.622779109558067e-02,  7.581483969079729e-02
  9.583333333333333e-02,  2.986332254147110e-01,  7.802638046399890e-02,  9.934625502420735e-02,  3.003981705977095e-01, -5.448806367636992e-02,  7.519153205686323e-02
  1.000000000000000e-01,  2.995497652446937e-01,  8.007046539195040e-02,  9.847769757196594e-02,  3.000559229864685e-01, -5.276343414509840e-02,  7.458100393710554e-02
  1.041666666666667e-01,  3.005402433022949e-01,  8.213172331190322e-02,  9.752393895743072e-02,  2.998091415554192e-01, -5.106047613093292e-02,  7.399448888099344e-02
  1.083333333333333e-01,  3.016161497713900e-01,  8.421398011846248e-02,  9.648989462766812e-02,  2.996725328044724e-01, -4.937998738217168e-02,  7.341542421101840e-02
  1.125000000000000e-01,  3.027764027604837e-01,  8.631060136176161e-02,  9.536533143694316e-02,  2.996447242768757e-01, -4.772851543084881e-02,  7.285401862553320e-02
  1.166666666666667e-01,  3.040233937648975e-01,  8.841831998513849e-02,  9.414554011896789e-02,  2.997286596539518e-01, -4.611057931905310e-02,  7.231148794100259e-02
  1.208333333333333e-01,  3.053590680046699e-01,  9.053386874983449e-02,  9.282634898157771e-02,  2.999266077613516e-01, -4.453058412871615e-02,  7.178882318348147e-02
  1.250000000000000e-01,  3.067848717654331e-01,  9.265398707941319e-02,  9.140418741249488e-02,  3.002401056206475e-01, -4.299278669954618e-02,  7.128679676136922e-02
  1.291666666666667e-01,  3.083017049600291e-01,  9.477543628695839e-02,  8.987615460221170e-02,  3.006699117015006e-01, -4.150126310522306e-02,  7.080596450017572e-02
  1.333333333333333e-01,  3.099098769404217e-01,  9.689501727164407e-02,  8.824008512878999e-02,  3.012159633846974e-01, -4.005987771261949e-02,  7.034667014358065e-02
  1.375000000000000e-01,  3.116090706273918e-01,  9.900958396736237e-02,  8.649459693725015e-02,  3.018773407418953e-01, -3.867225688746248e-02,  6.990905525873352e-02
  1.416666666666667e-01,  3.133983195930450e-01,  1.011160439841510e-01,  8.463910512770623e-02,  3.026522390590365e-01, -3.734176914529497e-02,  6.949307825957896e-02
  1.458333333333333e-01,  3.152759962660738e-01,  1.032113518538191e-01,  8.267380970935312e-02,  3.035379500941121e-01, -3.607151009683886e-02,  6.909853938764578e-02
  1.500000000000000e-01,  3.172398074505099e-01,  1.052925123842741e-01,  8.059969026712090e-02,  3.045308503408943e-01, -3.486428837578643e-02,  6.872510303621093e-02
  1.541666666666667e-01,  3.192867997654997e-01,  1.073565954922695e-01,  7.841851950052037e-02,  3.056263964748626e-01, -3.372261123439692e-02,  6.837231541662009e-02
  1.583333333333333e-01,  3.214133791794484e-01,  1.094007435739734e-01,  7.613287185880034e-02,  3.068191295474521e-01, -3.264867250219787e-02,  6.803962461102793e-02
  1.625000000000000e-01,  3.236153414829699e-01,  1.114221628083030e-01,  7.374611198388298e-02,  3.081026875959194e-01, -3.164434519311533e-02,  6.772640758357390e-02
  1.666666666666667e-01,  3.258879042010694e-01,  1.134181140941521e-01,  7.126237944632449e-02,  3.094698254050828e-01, -3.071117772049331e-02,  6.743199883544808e-02
  1.708333333333333e-01,  3.282257351357874e-01,  1.153859211679402e-01,  6.868658766715324e-02,  3.109124426992800e-01, -2.985039175500187e-02,  6.715571312235526e-02
  1.750000000000000e-01,  3.306229826019668e-01,  1.173229957238779e-01,  6.602443241607767e-02,  3.124216237744250e-01, -2.906288100816384e-02,  6.689686206706179e-02
  1.791666666666667e-01,  3.330733136858555e-01,  1.192268689341134e-01,  6.328239476842971e-02,  3.139876898058473e-01, -2.834921097001922e-02,  6.665476945544960e-02
  1.833333333333333e-01,  3.355699608317652e-01,  1.210952210963430e-01,  6.046773287827618e-02,  3.156002619826252e-01, -2.770961878200919e-02,  6.642878697777636e-02
  1.875000000000000e-01,  3.381057722880365e-01,  1.229259060512113e-01,  5.758847027141051e-02,  3.172483315791644e-01, -2.714401016000377e-02,  6.621830658748798e-02
  1.916666666666667e-01,  3.406732629282979e-01,  1.247169689998693e-01,  5.465338551775236e-02,  3.189203339767322e-01, -2.665195067717964e-02,  6.602276570601759e-02
  1.958333333333333e-01,  3.432646684729736e-01,  1.264666560260919e-01,  5.167199094827810e-02,  3.206042277271030e-01, -2.623265389705777e-02,  6.584164912207729e-02
  2.000000000000000e-01,  3.458720076807452e-01,  1.281734172131335e-01,  4.865448692618557e-02,  3.222875827037485e-01, -2.588497156081011e-02,  6.567449404468220e-02
  2.041666666666667e-01,  3.484871501477765e-01,  1.298359108308937e-01,  4.561169876032736e-02,  3.239576788510626e-01, -2.560738654489595e-02,  6.552089662613099e-02
  2.083333333333333e-01,  3.511018845088506e-01,  1.314530140737840e-01,  4.255501025774507e-02,  3.256016115657880e-01, -2.539800544046744e-02,  6.538051563815259e-02
  2.125000000000000e-01,  3.537079871119236e-01,  1.330238379391919e-01,  3.949629564299383e-02,  3.272063988359435e-01, -2.525454925260307e-02,  6.525307450514441e-02
  2.166666666666667e-01,  3.562972952870568e-01,  1.345477375843500e-01,  3.644784596887629e-02,  3.287590901329439e-01, -2.517434286873941e-02,  6.513836273375828e-02
  2.208333333333333e-01,  3.588617860612410e-01,  1.360243102432619e-01,  3.342228742249457e-02,  3.302468795016458e-01, -2.515430510540885e-02,  6.503623592115135e-02
  2.250000000000000e-01,  3.613936562222734e-01,  1.374533815528973e-01,  3.043249119488920e-02,  3.316572223828740e-01, -2.519094141094238e-02,  6.494661412083944e-02
  2.291666666666667e-01,  3.638854011830038e-01,  1.388349881114701e-01,  2.749147970947375e-02,  3.329779538313845e-01, -2.528033936441179e-02,  6.486947596616922e-02
  2.333333333333333e-01,  3.663298936364026e-01,  1.401693614557389e-01,  2.461233358518105e-02,  3.341974067195319e-01, -2.541816588733627e-02,  6.480484589727757e-02
  2.375000000000000e-01,  3.687204607640907e-01,  1.414569125786520e-01,  2.180809900798162e-02,  3.353045284280731e-01, -2.559966557212575e-02,  6.475277559845885e-02
  2.416666666666667e-01,  3.710509542335242e-01,  1.426982133314523e-01,  1.909169656566964e-02,  3.362889933084311e-01, -2.581966022594698e-02,  6.471332171967140e-02
  2.458333333333333e-01,  3.733158076037977e-01,  1.438939713155385e-01,  1.647583424873681e-02,  3.371413080993392e-01, -2.607255085657443e-02,  6.468652102259016e-02
  2.500000000000000e-01,  3.755100799159270e-01,  1.450449971774364e-01,  1.397292268559509e-02,  3.378529080003353e-01, -2.635232418143130e-02,  6.467236458949038e-02
  2.541666666666667e-01,  3.776294863037937e-01,  1.461521652846176e-01,  1.159498711170332e-02,  3.384162411133806e-01, -2.665256548524782e-02,  6.467077398007090e-02
  2.583333333333333e-01,  3.796704177443399e-01,  1.472163687956567e-01,  9.353571840183065e-03,  3.388248399299351e-01, -2.696647848297758e-02,  6.468158132485641e-02
  2.625000000000000e-01,  3.816299548849513e-01,  1.482384711841176e-01,  7.259636608461375e-03,  3.390733809473508e-01, -2.728691253452137e-02,  6.470451206787356e-02
  2.666666666666667e-01,  3.835058799051229e-01,  1.492192582024854e-01,  5.323448056948642e-03,  3.391577341613362e-01, -2.760639902219602e-02,  6.473916770380936e-02
  2.708333333333333e-01,  3.852966850662186e-01,  1.501593920315594e-01,  3.554469460288802e-03,  3.390750018889013e-01, -2.791720036837099e-02,  6.478500850039066e-02
  2.750000000000000e-01,  3.870015738415398e-01,  1.510593657470796e-01,  1.961249258165077e-03,  3.388235439286584e-01, -2.821137624177204e-02,  6.484133891447930e-02
  2.791666666666667e-01,  3.886204522281013e-01,  1.519194578209384e-01,  5.513107585342540e-04,  3.384029854389445e-01, -2.848087021075127e-02,  6.490729706237573e-02
  2.833333333333333e-01,  3.901539114695750e-01,  1.527396892041200e-01, -6.689515074395845e-04,  3.378142056419040e-01, -2.871761594016595e-02,  6.498184657645385e-02
  2.875000000000000e-01,  3.916032053419978e-01,  1.535197843175526e-01, -1.694364682110412e-03,  3.370593082895707e-01, -2.891365972901453e-02,  6.506376981973698e-02
  2.916666666666666e-01,  3.929702233715538e-01,  1.542591361467205e-01, -2.521057689099594e-03,  3.361415761523702e-01, -2.906129755686563e-02,  6.515166492950138e-02
  2.958333333333333e-01,  3.942574602317741e-01,  1.549567769967035e-01, -3.146525460430716e-03,  3.350654122935584e-01, -2.915322282685394e-02,  6.524394996876685e-02
  3.000000000000000e-01,  3.954679833960670e-01,  1.556113567349127e-01, -3.569671247624868e-03,  3.338362719279713e-01, -2.918267388967989e-02,  6.533887501594404e-02
  3.041666666666666e-01,  3.966054006317020e-01,  1.562211290783997e-01, -3.790820247947845e-03,  3.324605886267357e-01, -2.914356782044021e-02,  6.543454255964191e-02
  3.083333333333333e-01,  3.976738253119129e-01,  1.567839458317535e-01, -3.811703652133011e-03,  3.309456971134492e-01, -2.903061005921291e-02,  6.552894011648717e-02
  3.125000000000000e-01,  3.986778377878367e-01,  1.572972594081554e-01, -3.635421375198672e-03,  3.292997538028360e-01, -2.883937308687947e-02,  6.561999142407357e-02
  3.166666666666667e-01,  3.996224445626720e-01,  1.577581344832435e-01, -3.266394622619749e-03,  3.275316555562894e-01, -2.856634379776086e-02,  6.570562905434914e-02
  3.208333333333333e-01,  4.005130350099096e-01,  1.581632698372608e-01, -2.710313758029497e-03,  3.256509550334374e-01, -2.820894780948656e-02,  6.578388323978969e-02
  3.250000000000000e-01,  4.013553300807766e-01,  1.585090337417423e-01, -1.974077859344540e-03,  3.236677681285446e-01, -2.776556164806636e-02,  6.585297281767426e-02
  3.291666666666667e-01,  4.021553128160986e-01,  1.587915284491461e-01, -1.065705488795237e-03,  3.215926670279598e-01, -2.723551777286480e-02,  6.591137638630483e-02
  3.333333333333333e-01,  4.029191262703418e-01,  1.590067136618438e-01,  5.821397568312862e-06,  3.194365533568478e-01, -2.661909828807093e-02,  6.595786194702226e-02
  3.375000000000000e-01,  4.036529390560544e-01,  1.591505939640430e-01,  1.230789531909012e-03,  3.172105136129111e-01, -2.591750972074986e-02,  6.599147403009768e-02
  3.416666666666667e-01,  4.043628109866392e-01,  1.592194160166378e-01,  2.598999865328053e-03,  3.149256694756402e-01, -2.513283519213638e-02,  6.601150653759537e-02
  3.458333333333333e-01,  4.050545974336660e-01,  1.592098062617453e-01,  4.099947455412717e-03,  3.125930363874107e-01, -2.426796436137602e-02,  6.601749214148965e-02
  3.500000000000000e-01,  4.057339029701146e-01,  1.591188275418094e-01,  5.722913533734805e-03,  3.102233967558310e-01, -2.332650480454819e-02,  6.600921400362078e-02
  3.541666666666667e-01,  4.064060697256767e-01,  1.589439807481507e-01,  7.457004527290419e-03,  3.078271907408801e-01, -2.231268450172231e-02,  6.598672605077807e-02
  3.583333333333333e-01,  4.070761794912254e-01,  1.586831905147086e-01,  9.291182325934273e-03,  3.054144271792229e-01, -2.123125694731441e-02,  6.595036647615826e-02
  3.625000000000000e-01,  4.077490551349190e-01,  1.583348017718669e-01,  1.121431606029352e-02,  3.029946151956862e-01, -2.008741304495949e-02,  6.590075445232334e-02
  3.666666666666666e-01,  4.084292594134906e-01,  1.578975931207784e-01,  1.321526389121836e-02,  3.005767150807893e-01, -1.888669685966396e-02,  6.583876854057535e-02
  3.708333333333333e-01,  4.091210971651525e-01,  1.573707979119048e-01,  1.528296987818505e-02,  2.981691059443059e-01, -1.763492374596540e-02,  6.576551581726157e-02
  3.750000000000000e-01,  4.098286243854710e-01,  1.567541231126626e-01,  1.740655440543717e-02,  2.957795677551505e-01, -1.633810300366145e-02,  6.568230079243079e-02
  3.791666666666667e-01,  4.105556620754695e-01,  1.560477633454029e-01,  1.957539475484750e-02,  2.934152771683867e-01, -1.500236575462376e-02,  6.559059137728952e-02
