Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  3.333333333333333e+00,  6.217846717405918e-02, -3.594836853812549e-01,  4.292321191619772e-01,  2.124271259870134e-01,  8.006490166690611e-01,  1.192644269960259e-01,  5.635474075455236e-01,  1.047344090735856e+00,  5.916874230686480e-01,  1.963383517659115e+00, -1.622875285231817e-01, -8.040354675256890e-01,  2.944792784347285e-01
  3.337500000000000e+00,  6.235797101335606e-02, -3.626163981644812e-01,  4.312629255870801e-01,  2.139041679201665e-01,  8.004577986859288e-01,  1.193409344151890e-01,  5.644476558034465e-01,  1.057323616733279e+00,  5.991877239204998e-01,  1.966942217287261e+00, -1.591735696433574e-01, -8.064806356074423e-01,  2.961506022243034e-01
  3.341666666666667e+00,  6.250691415058603e-02, -3.657396671773768e-01,  4.331980266678206e-01,  2.153280847100120e-01,  8.002672064809939e-01,  1.194201355980856e-01,  5.647854008231699e-01,  1.067170101747922e+00,  6.071266269529852e-01,  1.970440785253043e+00, -1.557408688947614e-01, -8.092035039666026e-01,  2.976725742297824e-01
  3.345833333333334e+00,  6.262441404562245e-02, -3.688465475005573e-01,  4.350310292008978e-01,  2.166938794286709e-01,  8.000773672963835e-01,  1.195022276680773e-01,  5.645699818497570e-01,  1.076855260986898e+00,  6.155008486268293e-01,  1.973900810968347e+00, -1.520445146818052e-01, -8.121687948066444e-01,  2.990686097271957e-01
  3.350000000000000e+00,  6.270902642485154e-02, -3.719326387363980e-01,  4.367548082382216e-01,  2.179963178344117e-01,  7.998881617801439e-01,  1.195876407122832e-01,  5.638120103579767e-01,  1.086354021942141e+00,  6.243086552748780e-01,  1.977335884888135e+00, -1.481109445581771e-01, -8.153229471357630e-01,  3.003513659933716e-01
  3.354166666666667e+00,  6.275834276167802e-02, -3.749957419650226e-01,  4.383600537964095e-01,  2.192290282556388e-01,  7.996992074269781e-01,  1.196771080368836e-01,  5.625243528948333e-01,  1.095644640714146e+00,  6.335515645758094e-01,  1.980750132032856e+00, -1.439315147516344e-01, -8.186029802043469e-01,  3.015162996790539e-01
  3.358333333333333e+00,  6.276915845027280e-02, -3.780358127672411e-01,  4.398357915986406e-01,  2.203848007531928e-01,  7.995098805233078e-01,  1.197716267106828e-01,  5.607208953651611e-01,  1.104706991719951e+00,  6.432332023438169e-01,  1.984140142339721e+00, -1.394794953250850e-01, -8.219484683747089e-01,  3.025519424223509e-01
  3.362500000000000e+00,  6.273781411967876e-02, -3.810541126453130e-01,  4.411700792525600e-01,  2.214559294185644e-01,  7.993194095875653e-01,  1.198723525672684e-01,  5.584157323961635e-01,  1.113520423240162e+00,  6.533577990063013e-01,  1.987498738664263e+00, -1.347340709759161e-01, -8.253114423870631e-01,  3.034509796705891e-01
  3.366666666666667e+00,  6.266039344110710e-02, -3.840520672738056e-01,  4.423500854587749e-01,  2.224341656442477e-01,  7.991269710278122e-01,  1.199805183022829e-01,  5.556240796855622e-01,  1.122062371283047e+00,  6.639297310702234e-01,  1.990819175174324e+00, -1.296973052161731e-01, -8.286613889248384e-01,  3.042121494608445e-01
  3.370833333333334e+00,  6.253289265074664e-02, -3.870305263152481e-01,  4.433622567231590e-01,  2.233107637105408e-01,  7.989317553248667e-01,  1.200973722368817e-01,  5.523633393460434e-01,  1.130308782987946e+00,  6.749532228820819e-01,  1.994097395209567e+00, -1.244005299341859e-01, -8.319820888732095e-01,  3.048406863719874e-01
  3.375000000000000e+00,  6.235163458430248e-02, -3.899889859312503e-01,  4.441932603534671e-01,  2.240769979457764e-01,  7.987330640384442e-01,  1.202240607503962e-01,  5.486548756237964e-01,  1.138235703840823e+00,  6.864298854083404e-01,  1.997332025918216e+00, -1.189038438117075e-01, -8.352644627381499e-01,  3.053531631927752e-01
  3.379166666666667e+00,  6.211389310177983e-02, -3.929244791058155e-01,  4.448314660279200e-01,  2.247249857737870e-01,  7.985304536217939e-01,  1.203614510294706e-01,  5.445256097210276e-01,  1.145820103390687e+00,  6.983551947342329e-01,  2.000524000315909e+00, -1.132919740808940e-01, -8.385028499211719e-01,  3.057828004652552e-01
